value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2024-11-06
1,242,157,0,0,0,0,0,0,0,0,2024-11-06
2,37,19,0,0,0,0,0,0,0,0,2024-11-06
3,20,4,0,0,0,0,0,0,0,0,2024-11-06
4,10,8,0,0,0,0,0,0,0,0,2024-11-06
5,10,5,0,0,0,0,0,0,0,0,2024-11-06
6,0,10,0,0,0,0,0,0,0,0,2024-11-06
7,47,0,0,0,0,0,0,0,0,0,2024-11-06
8,6,1,0,0,0,0,0,0,0,0,2024-11-06
9,0,4,0,0,0,0,0,0,0,0,2024-11-06
10,15,10,0,0,0,0,0,0,0,0,2024-11-06
11,1,0,0,0,0,0,0,0,0,0,2024-11-06
12,1,26,0,0,0,0,0,0,0,0,2024-11-06
13,11,2,0,0,0,0,0,0,0,0,2024-11-06
14,3,11,0,0,0,0,0,0,0,0,2024-11-06
15,1,1,0,0,0,0,0,0,0,0,2024-11-06
16,0,0,0,0,0,0,0,0,0,0,2024-11-06
17,2,4,0,0,0,0,0,0,0,0,2024-11-06
18,14,2,0,0,0,0,0,0,0,0,2024-11-06
19,13,2,0,0,0,0,0,0,0,0,2024-11-06
20,4,1,0,0,0,0,0,0,0,0,2024-11-06
21,0,2,0,0,0,0,0,0,0,0,2024-11-06
22,3,15,0,0,0,0,0,0,0,0,2024-11-06
23,18,2,0,0,0,0,0,0,0,0,2024-11-06
24,0,0,0,0,0,0,0,0,0,0,2024-11-06
25,0,0,0,0,0,0,0,0,0,0,2024-11-06
26,3,29,0,0,0,0,0,0,0,0,2024-11-06
27,0,4,0,0,0,0,0,0,0,0,2024-11-06
28,6,7,0,0,0,0,0,0,0,0,2024-11-06
29,0,0,0,0,0,0,0,0,0,0,2024-11-06
30,0,0,0,0,0,0,0,0,0,0,2024-11-06
31,0,5,0,0,0,0,0,0,0,0,2024-11-06
32,1,13,0,0,0,0,0,0,0,0,2024-11-06
33,6,7,0,0,0,0,0,0,0,0,2024-11-06
34,5,7,0,0,0,0,0,0,0,0,2024-11-06
35,21,6,0,0,0,0,0,0,0,0,2024-11-06
36,0,0,0,0,0,0,0,0,0,0,2024-11-06
37,32,4,0,0,0,0,0,0,0,0,2024-11-06
38,0,0,0,0,0,0,0,0,0,0,2024-11-06
39,10,2,0,0,0,0,0,0,0,0,2024-11-06
40,19,0,0,0,0,0,0,0,0,0,2024-11-06
41,0,7,0,0,0,0,0,0,0,0,2024-11-06
42,0,0,0,0,0,0,0,0,0,0,2024-11-06
43,0,6,0,0,0,0,0,0,0,0,2024-11-06
44,9,4,0,0,0,0,0,0,0,0,2024-11-06
45,7,6,0,0,0,0,0,0,0,0,2024-11-06
46,0,0,0,0,0,0,0,0,0,0,2024-11-06
47,3,6,0,0,0,0,0,0,0,0,2024-11-06
48,0,0,0,0,0,0,0,0,0,0,2024-11-06
49,1,0,0,0,0,0,0,0,0,0,2024-11-06
50,11,11,0,0,0,0,0,0,0,0,2024-11-06
51,0,9,0,0,0,0,0,0,0,0,2024-11-06
52,0,5,0,0,0,0,0,0,0,0,2024-11-06
53,1,0,0,0,0,0,0,0,0,0,2024-11-06
54,0,3,0,0,0,0,0,0,0,0,2024-11-06
55,0,0,0,0,0,0,0,0,0,0,2024-11-06
56,0,0,0,0,0,0,0,0,0,0,2024-11-06
57,4,1,0,0,0,0,0,0,0,0,2024-11-06
58,1,0,0,0,0,0,0,0,0,0,2024-11-06
59,0,0,0,0,0,0,0,0,0,0,2024-11-06
60,0,0,0,0,0,0,0,0,0,0,2024-11-06
61,32,6,0,0,0,0,0,0,0,0,2024-11-06
62,17,0,0,0,0,0,0,0,0,0,2024-11-06
63,0,13,0,0,0,0,0,0,0,0,2024-11-06
64,1,0,0,0,0,0,0,0,0,0,2024-11-06
65,8,0,0,0,0,0,0,0,0,0,2024-11-06
66,15,0,0,0,0,0,0,0,0,0,2024-11-06
67,6,0,0,0,0,0,0,0,0,0,2024-11-06
68,9,0,0,0,0,0,0,0,0,0,2024-11-06
69,9,0,0,0,0,0,0,0,0,0,2024-11-06
70,5,3,0,0,0,0,0,0,0,0,2024-11-06
71,17,0,0,0,0,0,0,0,0,0,2024-11-06
72,0,0,0,0,0,0,0,0,0,0,2024-11-06
73,5,0,0,0,0,0,0,0,0,0,2024-11-06
74,4,0,0,0,0,0,0,0,0,0,2024-11-06
75,1,9,0,0,0,0,0,0,0,0,2024-11-06
76,0,0,0,0,0,0,0,0,0,0,2024-11-06
77,3,2,0,0,0,0,0,0,0,0,2024-11-06
78,5,4,0,0,0,0,0,0,0,0,2024-11-06
79,1,0,0,0,0,0,0,0,0,0,2024-11-06
80,16,2,0,0,0,0,0,0,0,0,2024-11-06
81,0,1,0,0,0,0,0,0,0,0,2024-11-06
82,4,3,0,0,0,0,0,0,0,0,2024-11-06
83,0,1,0,0,0,0,0,0,0,0,2024-11-06
84,5,2,0,0,0,0,0,0,0,0,2024-11-06
85,8,0,0,0,0,0,0,0,0,0,2024-11-06
86,1,13,0,0,0,0,0,0,0,0,2024-11-06
87,6,0,0,0,0,0,0,0,0,0,2024-11-06
