value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2023-08-22
1,2,0,0,0,0,0,0,0,0,0,2023-08-22
2,0,0,0,0,0,0,0,0,0,0,2023-08-22
3,8,3,0,0,0,0,0,0,0,0,2023-08-22
4,0,0,0,0,0,0,0,0,0,0,2023-08-22
5,0,0,0,0,0,0,0,0,0,0,2023-08-22
6,7,5,0,0,0,0,0,0,0,0,2023-08-22
7,0,0,0,0,0,0,0,0,0,0,2023-08-22
8,3,0,0,0,0,0,0,0,0,0,2023-08-22
9,5,0,0,0,0,0,0,0,0,0,2023-08-22
10,23,8,0,0,0,0,0,0,0,0,2023-08-22
11,0,0,0,0,0,0,0,0,0,0,2023-08-22
12,2,0,0,0,0,0,0,0,0,0,2023-08-22
13,0,0,0,0,0,0,0,0,0,0,2023-08-22
14,5,0,0,0,0,0,0,0,0,0,2023-08-22
15,0,4,0,0,0,0,0,0,0,0,2023-08-22
16,0,0,0,0,0,0,0,0,0,0,2023-08-22
17,10,1,0,0,0,0,0,0,0,0,2023-08-22
18,0,10,0,0,0,0,0,0,0,0,2023-08-22
19,0,3,0,0,0,0,0,0,0,0,2023-08-22
20,0,3,0,0,0,0,0,0,0,0,2023-08-22
21,0,11,0,0,0,0,0,0,0,0,2023-08-22
22,5,29,0,0,0,0,0,0,0,0,2023-08-22
23,0,3,0,0,0,0,0,0,0,0,2023-08-22
24,0,0,0,0,0,0,0,0,0,0,2023-08-22
25,0,0,0,0,0,0,0,0,0,0,2023-08-22
26,0,0,0,0,0,0,0,0,0,0,2023-08-22
27,5,0,0,0,0,0,0,0,0,0,2023-08-22
28,0,0,0,0,0,0,0,0,0,0,2023-08-22
29,5,0,0,0,0,0,0,0,0,0,2023-08-22
30,1,5,0,0,0,0,0,0,0,0,2023-08-22
31,4,0,0,0,0,0,0,0,0,0,2023-08-22
32,0,0,0,0,0,0,0,0,0,0,2023-08-22
33,0,0,0,0,0,0,0,0,0,0,2023-08-22
34,0,0,0,0,0,0,0,0,0,0,2023-08-22
35,0,0,0,0,0,0,0,0,0,0,2023-08-22
36,0,5,0,0,0,0,0,0,0,0,2023-08-22
37,0,0,0,0,0,0,0,0,0,0,2023-08-22
38,0,11,0,0,0,0,0,0,0,0,2023-08-22
39,0,5,0,0,0,0,0,0,0,0,2023-08-22
40,0,2,0,0,0,0,0,0,0,0,2023-08-22
41,0,11,0,0,0,0,0,0,0,0,2023-08-22
42,0,4,0,0,0,0,0,0,0,0,2023-08-22
43,0,4,0,0,0,0,0,0,0,0,2023-08-22
44,0,0,0,0,0,0,0,0,0,0,2023-08-22
45,0,9,0,0,0,0,0,0,0,0,2023-08-22
46,5,0,0,0,0,0,0,0,0,0,2023-08-22
47,2,5,0,0,0,0,0,0,0,0,2023-08-22
48,0,0,0,0,0,0,0,0,0,0,2023-08-22
49,0,0,0,0,0,0,0,0,0,0,2023-08-22
50,2,4,0,0,0,0,0,0,0,0,2023-08-22
51,0,0,0,0,0,0,0,0,0,0,2023-08-22
52,0,0,0,0,0,0,0,0,0,0,2023-08-22
53,0,0,0,0,0,0,0,0,0,0,2023-08-22
54,1,0,0,0,0,0,0,0,0,0,2023-08-22
55,1,0,0,0,0,0,0,0,0,0,2023-08-22
56,0,5,0,0,0,0,0,0,0,0,2023-08-22
57,0,0,0,0,0,0,0,0,0,0,2023-08-22
58,1,11,0,0,0,0,0,0,0,0,2023-08-22
59,0,0,0,0,0,0,0,0,0,0,2023-08-22
60,0,3,0,0,0,0,0,0,0,0,2023-08-22
61,0,0,0,0,0,0,0,0,0,0,2023-08-22
62,0,2,0,0,0,0,0,0,0,0,2023-08-22
63,0,0,0,0,0,0,0,0,0,0,2023-08-22
64,0,0,0,0,0,0,0,0,0,0,2023-08-22
65,1,0,0,0,0,0,0,0,0,0,2023-08-22
66,0,0,0,0,0,0,0,0,0,0,2023-08-22
67,0,0,0,0,0,0,0,0,0,0,2023-08-22
68,7,3,0,0,0,0,0,0,0,0,2023-08-22
69,0,0,0,0,0,0,0,0,0,0,2023-08-22
70,2,0,0,0,0,0,0,0,0,0,2023-08-22
71,0,0,0,0,0,0,0,0,0,0,2023-08-22
72,5,0,0,0,0,0,0,0,0,0,2023-08-22
73,0,6,0,0,0,0,0,0,0,0,2023-08-22
74,0,5,0,0,0,0,0,0,0,0,2023-08-22
75,0,0,0,0,0,0,0,0,0,0,2023-08-22
76,15,15,0,0,0,0,0,0,0,0,2023-08-22
