value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2024-05-22
1,7,3,0,0,0,0,0,0,0,0,2024-05-22
2,8,0,0,0,0,0,0,0,0,0,2024-05-22
3,7,28,0,0,0,0,0,0,0,0,2024-05-22
4,0,0,0,0,0,0,0,0,0,0,2024-05-22
5,23,2,0,0,0,0,0,0,0,0,2024-05-22
6,0,0,0,0,0,0,0,0,0,0,2024-05-22
7,9,0,0,0,0,0,0,0,0,0,2024-05-22
8,0,4,0,0,0,0,0,0,0,0,2024-05-22
9,0,0,0,0,0,0,0,0,0,0,2024-05-22
10,0,0,0,0,0,0,0,0,0,0,2024-05-22
11,0,0,0,0,0,0,0,0,0,0,2024-05-22
12,0,0,0,0,0,0,0,0,0,0,2024-05-22
13,2,0,0,0,0,0,0,0,0,0,2024-05-22
14,0,0,0,0,0,0,0,0,0,0,2024-05-22
15,0,0,0,0,0,0,0,0,0,0,2024-05-22
16,0,0,0,0,0,0,0,0,0,0,2024-05-22
17,0,0,0,0,0,0,0,0,0,0,2024-05-22
18,0,0,0,0,0,0,0,0,0,0,2024-05-22
19,5,0,0,0,0,0,0,0,0,0,2024-05-22
20,10,0,0,0,0,0,0,0,0,0,2024-05-22
21,0,0,0,0,0,0,0,0,0,0,2024-05-22
22,11,0,0,0,0,0,0,0,0,0,2024-05-22
23,0,0,0,0,0,0,0,0,0,0,2024-05-22
24,0,0,0,0,0,0,0,0,0,0,2024-05-22
25,0,7,0,0,0,0,0,0,0,0,2024-05-22
26,0,0,0,0,0,0,0,0,0,0,2024-05-22
27,0,0,0,0,0,0,0,0,0,0,2024-05-22
28,0,0,0,0,0,0,0,0,0,0,2024-05-22
29,0,0,0,0,0,0,0,0,0,0,2024-05-22
30,0,0,0,0,0,0,0,0,0,0,2024-05-22
31,0,0,0,0,0,0,0,0,0,0,2024-05-22
32,0,0,0,0,0,0,0,0,0,0,2024-05-22
33,13,0,0,0,0,0,0,0,0,0,2024-05-22
34,0,0,0,0,0,0,0,0,0,0,2024-05-22
35,0,0,0,0,0,0,0,0,0,0,2024-05-22
36,0,0,0,0,0,0,0,0,0,0,2024-05-22
37,0,0,0,0,0,0,0,0,0,0,2024-05-22
38,0,14,0,0,0,0,0,0,0,0,2024-05-22
39,5,0,0,0,0,0,0,0,0,0,2024-05-22
40,0,0,0,0,0,0,0,0,0,0,2024-05-22
41,15,0,0,0,0,0,0,0,0,0,2024-05-22
42,7,0,0,0,0,0,0,0,0,0,2024-05-22
43,0,0,0,0,0,0,0,0,0,0,2024-05-22
44,3,0,0,0,0,0,0,0,0,0,2024-05-22
45,0,0,0,0,0,0,0,0,0,0,2024-05-22
46,11,0,0,0,0,0,0,0,0,0,2024-05-22
47,0,0,0,0,0,0,0,0,0,0,2024-05-22
48,3,0,0,0,0,0,0,0,0,0,2024-05-22
49,0,0,0,0,0,0,0,0,0,0,2024-05-22
50,1,1,0,0,0,0,0,0,0,0,2024-05-22
51,0,0,0,0,0,0,0,0,0,0,2024-05-22
52,0,0,0,0,0,0,0,0,0,0,2024-05-22
53,0,3,0,0,0,0,0,0,0,0,2024-05-22
54,0,0,0,0,0,0,0,0,0,0,2024-05-22
55,0,0,0,0,0,0,0,0,0,0,2024-05-22
56,0,0,0,0,0,0,0,0,0,0,2024-05-22
57,1,9,0,0,0,0,0,0,0,0,2024-05-22
58,0,0,0,0,0,0,0,0,0,0,2024-05-22
59,0,0,0,0,0,0,0,0,0,0,2024-05-22
60,0,6,0,0,0,0,0,0,0,0,2024-05-22
61,0,0,0,0,0,0,0,0,0,0,2024-05-22
