value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2023-08-08
1,3,10,0,0,0,0,0,0,0,0,2023-08-08
2,0,23,0,0,0,0,0,0,0,0,2023-08-08
3,18,5,0,0,0,0,0,0,0,0,2023-08-08
4,0,0,0,0,0,0,0,0,0,0,2023-08-08
5,20,0,0,0,0,0,0,0,0,0,2023-08-08
6,0,0,0,0,0,0,0,0,0,0,2023-08-08
7,0,7,0,0,0,0,0,0,0,0,2023-08-08
8,6,12,0,0,0,0,0,0,0,0,2023-08-08
9,12,0,0,0,0,0,0,0,0,0,2023-08-08
10,6,17,0,0,0,0,0,0,0,0,2023-08-08
11,8,0,0,0,0,0,0,0,0,0,2023-08-08
12,4,2,0,0,0,0,0,0,0,0,2023-08-08
13,5,0,0,0,0,0,0,0,0,0,2023-08-08
14,2,9,0,0,0,0,0,0,0,0,2023-08-08
15,0,6,0,0,0,0,0,0,0,0,2023-08-08
16,4,10,0,0,0,0,0,0,0,0,2023-08-08
17,17,39,0,0,0,0,0,0,0,0,2023-08-08
18,7,14,0,0,0,0,0,0,0,0,2023-08-08
19,58,0,0,0,0,0,0,0,0,0,2023-08-08
20,0,0,0,0,0,0,0,0,0,0,2023-08-08
21,7,4,0,0,0,0,0,0,0,0,2023-08-08
22,5,0,0,0,0,0,0,0,0,0,2023-08-08
23,34,1,0,0,0,0,0,0,0,0,2023-08-08
24,2,0,0,0,0,0,0,0,0,0,2023-08-08
25,51,0,0,0,0,0,0,0,0,0,2023-08-08
26,0,0,0,0,0,0,0,0,0,0,2023-08-08
27,0,0,0,0,0,0,0,0,0,0,2023-08-08
28,0,5,0,0,0,0,0,0,0,0,2023-08-08
29,15,6,0,0,0,0,0,0,0,0,2023-08-08
30,1,9,0,0,0,0,0,0,0,0,2023-08-08
31,0,4,0,0,0,0,0,0,0,0,2023-08-08
32,0,6,0,0,0,0,0,0,0,0,2023-08-08
33,0,0,0,0,0,0,0,0,0,0,2023-08-08
34,0,0,0,0,0,0,0,0,0,0,2023-08-08
35,0,3,0,0,0,0,0,0,0,0,2023-08-08
36,9,0,0,0,0,0,0,0,0,0,2023-08-08
37,10,9,0,0,0,0,0,0,0,0,2023-08-08
38,0,5,0,0,0,0,0,0,0,0,2023-08-08
39,0,7,0,0,0,0,0,0,0,0,2023-08-08
40,5,14,0,0,0,0,0,0,0,0,2023-08-08
41,0,0,0,0,0,0,0,0,0,0,2023-08-08
42,0,7,0,0,0,0,0,0,0,0,2023-08-08
43,0,5,0,0,0,0,0,0,0,0,2023-08-08
44,6,0,0,0,0,0,0,0,0,0,2023-08-08
45,10,1,0,0,0,0,0,0,0,0,2023-08-08
46,0,0,0,0,0,0,0,0,0,0,2023-08-08
47,1,0,0,0,0,0,0,0,0,0,2023-08-08
48,6,0,0,0,0,0,0,0,0,0,2023-08-08
49,0,4,0,0,0,0,0,0,0,0,2023-08-08
50,0,3,0,0,0,0,0,0,0,0,2023-08-08
51,1,1,0,0,0,0,0,0,0,0,2023-08-08
52,9,8,0,0,0,0,0,0,0,0,2023-08-08
53,5,9,0,0,0,0,0,0,0,0,2023-08-08
54,0,0,0,0,0,0,0,0,0,0,2023-08-08
55,0,8,0,0,0,0,0,0,0,0,2023-08-08
56,2,0,0,0,0,0,0,0,0,0,2023-08-08
57,17,1,0,0,0,0,0,0,0,0,2023-08-08
58,0,1,0,0,0,0,0,0,0,0,2023-08-08
59,8,10,0,0,0,0,0,0,0,0,2023-08-08
60,9,0,0,0,0,0,0,0,0,0,2023-08-08
61,0,9,0,0,0,0,0,0,0,0,2023-08-08
62,0,0,0,0,0,0,0,0,0,0,2023-08-08
63,9,1,0,0,0,0,0,0,0,0,2023-08-08
64,4,20,0,0,0,0,0,0,0,0,2023-08-08
65,14,4,0,0,0,0,0,0,0,0,2023-08-08
66,5,14,0,0,0,0,0,0,0,0,2023-08-08
67,6,0,0,0,0,0,0,0,0,0,2023-08-08
68,4,12,0,0,0,0,0,0,0,0,2023-08-08
69,6,1,0,0,0,0,0,0,0,0,2023-08-08
70,4,0,0,0,0,0,0,0,0,0,2023-08-08
71,1,1,0,0,0,0,0,0,0,0,2023-08-08
