value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2024-02-27
1,33,30,0,0,0,0,0,0,0,0,2024-02-27
2,8,16,0,0,0,0,0,0,0,0,2024-02-27
3,3,21,0,0,0,0,0,0,0,0,2024-02-27
4,1,0,0,0,0,0,0,0,0,0,2024-02-27
5,33,25,0,0,0,0,0,0,0,0,2024-02-27
6,0,0,0,0,0,0,0,0,0,0,2024-02-27
7,0,0,0,0,0,0,0,0,0,0,2024-02-27
8,9,1,0,0,0,0,0,0,0,0,2024-02-27
9,0,0,0,0,0,0,0,0,0,0,2024-02-27
10,0,0,0,0,0,0,0,0,0,0,2024-02-27
11,2,0,0,0,0,0,0,0,0,0,2024-02-27
12,5,0,0,0,0,0,0,0,0,0,2024-02-27
13,0,0,0,0,0,0,0,0,0,0,2024-02-27
14,0,0,0,0,0,0,0,0,0,0,2024-02-27
15,0,0,0,0,0,0,0,0,0,0,2024-02-27
16,0,0,0,0,0,0,0,0,0,0,2024-02-27
17,5,2,0,0,0,0,0,0,0,0,2024-02-27
18,0,0,0,0,0,0,0,0,0,0,2024-02-27
19,0,3,0,0,0,0,0,0,0,0,2024-02-27
20,2,3,0,0,0,0,0,0,0,0,2024-02-27
21,1,0,0,0,0,0,0,0,0,0,2024-02-27
22,0,0,0,0,0,0,0,0,0,0,2024-02-27
23,8,0,0,0,0,0,0,0,0,0,2024-02-27
24,0,0,0,0,0,0,0,0,0,0,2024-02-27
25,2,0,0,0,0,0,0,0,0,0,2024-02-27
26,5,0,0,0,0,0,0,0,0,0,2024-02-27
27,0,0,0,0,0,0,0,0,0,0,2024-02-27
28,0,0,0,0,0,0,0,0,0,0,2024-02-27
29,0,0,0,0,0,0,0,0,0,0,2024-02-27
30,2,3,0,0,0,0,0,0,0,0,2024-02-27
31,5,0,0,0,0,0,0,0,0,0,2024-02-27
32,16,1,0,0,0,0,0,0,0,0,2024-02-27
33,0,0,0,0,0,0,0,0,0,0,2024-02-27
34,2,8,0,0,0,0,0,0,0,0,2024-02-27
35,9,0,0,0,0,0,0,0,0,0,2024-02-27
36,0,0,0,0,0,0,0,0,0,0,2024-02-27
37,0,1,0,0,0,0,0,0,0,0,2024-02-27
38,0,0,0,0,0,0,0,0,0,0,2024-02-27
39,0,0,0,0,0,0,0,0,0,0,2024-02-27
40,0,0,0,0,0,0,0,0,0,0,2024-02-27
41,0,0,0,0,0,0,0,0,0,0,2024-02-27
42,1,0,0,0,0,0,0,0,0,0,2024-02-27
43,0,0,0,0,0,0,0,0,0,0,2024-02-27
44,2,4,0,0,0,0,0,0,0,0,2024-02-27
45,0,1,0,0,0,0,0,0,0,0,2024-02-27
46,0,0,0,0,0,0,0,0,0,0,2024-02-27
47,0,0,0,0,0,0,0,0,0,0,2024-02-27
48,0,0,0,0,0,0,0,0,0,0,2024-02-27
49,0,0,0,0,0,0,0,0,0,0,2024-02-27
50,0,0,0,0,0,0,0,0,0,0,2024-02-27
51,0,0,0,0,0,0,0,0,0,0,2024-02-27
52,7,0,0,0,0,0,0,0,0,0,2024-02-27
53,0,0,0,0,0,0,0,0,0,0,2024-02-27
54,0,0,0,0,0,0,0,0,0,0,2024-02-27
55,0,0,0,0,0,0,0,0,0,0,2024-02-27
56,0,0,0,0,0,0,0,0,0,0,2024-02-27
57,0,0,0,0,0,0,0,0,0,0,2024-02-27
58,1,2,0,0,0,0,0,0,0,0,2024-02-27
59,0,0,0,0,0,0,0,0,0,0,2024-02-27
60,0,0,0,0,0,0,0,0,0,0,2024-02-27
61,0,0,0,0,0,0,0,0,0,0,2024-02-27
62,0,0,0,0,0,0,0,0,0,0,2024-02-27
63,3,0,0,0,0,0,0,0,0,0,2024-02-27
64,0,0,0,0,0,0,0,0,0,0,2024-02-27
65,5,6,0,0,0,0,0,0,0,0,2024-02-27
66,0,0,0,0,0,0,0,0,0,0,2024-02-27
67,0,0,0,0,0,0,0,0,0,0,2024-02-27
68,13,0,0,0,0,0,0,0,0,0,2024-02-27
69,0,0,0,0,0,0,0,0,0,0,2024-02-27
70,1,1,0,0,0,0,0,0,0,0,2024-02-27
71,0,3,0,0,0,0,0,0,0,0,2024-02-27
72,1,0,0,0,0,0,0,0,0,0,2024-02-27
73,0,0,0,0,0,0,0,0,0,0,2024-02-27
74,0,0,0,0,0,0,0,0,0,0,2024-02-27
75,6,1,0,0,0,0,0,0,0,0,2024-02-27
76,2,5,0,0,0,0,0,0,0,0,2024-02-27
77,1,3,0,0,0,0,0,0,0,0,2024-02-27
78,1,13,0,0,0,0,0,0,0,0,2024-02-27
79,1,0,0,0,0,0,0,0,0,0,2024-02-27
80,0,15,0,0,0,0,0,0,0,0,2024-02-27
81,0,0,0,0,0,0,0,0,0,0,2024-02-27
82,0,0,0,0,0,0,0,0,0,0,2024-02-27
83,0,0,0,0,0,0,0,0,0,0,2024-02-27
84,5,4,0,0,0,0,0,0,0,0,2024-02-27
85,0,0,0,0,0,0,0,0,0,0,2024-02-27
86,0,0,0,0,0,0,0,0,0,0,2024-02-27
87,0,0,0,0,0,0,0,0,0,0,2024-02-27
88,9,1,0,0,0,0,0,0,0,0,2024-02-27
89,0,0,0,0,0,0,0,0,0,0,2024-02-27
90,3,6,0,0,0,0,0,0,0,0,2024-02-27
91,0,0,0,0,0,0,0,0,0,0,2024-02-27
92,8,4,0,0,0,0,0,0,0,0,2024-02-27
93,0,0,0,0,0,0,0,0,0,0,2024-02-27
94,1,2,0,0,0,0,0,0,0,0,2024-02-27
95,7,0,0,0,0,0,0,0,0,0,2024-02-27
96,20,2,0,0,0,0,0,0,0,0,2024-02-27
97,11,4,0,0,0,0,0,0,0,0,2024-02-27
98,18,5,0,0,0,0,0,0,0,0,2024-02-27
99,20,22,0,0,0,0,0,0,0,0,2024-02-27
100,1196,938,0,0,0,0,0,0,0,0,2024-02-27
101,18,18,0,0,0,0,0,0,0,0,2024-02-27
102,8,9,0,0,0,0,0,0,0,0,2024-02-27
103,4,0,0,0,0,0,0,0,0,0,2024-02-27
104,7,5,0,0,0,0,0,0,0,0,2024-02-27
105,11,12,0,0,0,0,0,0,0,0,2024-02-27
106,0,12,0,0,0,0,0,0,0,0,2024-02-27
107,1,0,0,0,0,0,0,0,0,0,2024-02-27
108,0,3,0,0,0,0,0,0,0,0,2024-02-27
109,0,0,0,0,0,0,0,0,0,0,2024-02-27
110,0,0,0,0,0,0,0,0,0,0,2024-02-27
111,0,1,0,0,0,0,0,0,0,0,2024-02-27
112,2,0,0,0,0,0,0,0,0,0,2024-02-27
113,1,0,0,0,0,0,0,0,0,0,2024-02-27
114,0,0,0,0,0,0,0,0,0,0,2024-02-27
115,0,2,0,0,0,0,0,0,0,0,2024-02-27
116,0,0,0,0,0,0,0,0,0,0,2024-02-27
117,0,11,0,0,0,0,0,0,0,0,2024-02-27
118,2,12,0,0,0,0,0,0,0,0,2024-02-27
119,0,0,0,0,0,0,0,0,0,0,2024-02-27
120,1,1,0,0,0,0,0,0,0,0,2024-02-27
121,3,0,0,0,0,0,0,0,0,0,2024-02-27
122,6,1,0,0,0,0,0,0,0,0,2024-02-27
123,0,2,0,0,0,0,0,0,0,0,2024-02-27
124,0,4,0,0,0,0,0,0,0,0,2024-02-27
125,0,0,0,0,0,0,0,0,0,0,2024-02-27
126,1,0,0,0,0,0,0,0,0,0,2024-02-27
127,2,0,0,0,0,0,0,0,0,0,2024-02-27
128,0,0,0,0,0,0,0,0,0,0,2024-02-27
129,0,0,0,0,0,0,0,0,0,0,2024-02-27
130,1,5,0,0,0,0,0,0,0,0,2024-02-27
131,7,0,0,0,0,0,0,0,0,0,2024-02-27
132,2,0,0,0,0,0,0,0,0,0,2024-02-27
133,0,1,0,0,0,0,0,0,0,0,2024-02-27
134,1,0,0,0,0,0,0,0,0,0,2024-02-27
135,3,0,0,0,0,0,0,0,0,0,2024-02-27
136,0,0,0,0,0,0,0,0,0,0,2024-02-27
137,0,0,0,0,0,0,0,0,0,0,2024-02-27
138,1,1,0,0,0,0,0,0,0,0,2024-02-27
139,16,0,0,0,0,0,0,0,0,0,2024-02-27
140,0,2,0,0,0,0,0,0,0,0,2024-02-27
141,0,0,0,0,0,0,0,0,0,0,2024-02-27
142,0,0,0,0,0,0,0,0,0,0,2024-02-27
143,0,0,0,0,0,0,0,0,0,0,2024-02-27
144,0,5,0,0,0,0,0,0,0,0,2024-02-27
145,0,0,0,0,0,0,0,0,0,0,2024-02-27
146,0,0,0,0,0,0,0,0,0,0,2024-02-27
147,0,0,0,0,0,0,0,0,0,0,2024-02-27
148,0,0,0,0,0,0,0,0,0,0,2024-02-27
149,0,0,0,0,0,0,0,0,0,0,2024-02-27
150,0,2,0,0,0,0,0,0,0,0,2024-02-27
151,0,1,0,0,0,0,0,0,0,0,2024-02-27
152,0,0,0,0,0,0,0,0,0,0,2024-02-27
153,2,3,0,0,0,0,0,0,0,0,2024-02-27
154,2,4,0,0,0,0,0,0,0,0,2024-02-27
155,0,0,0,0,0,0,0,0,0,0,2024-02-27
156,0,0,0,0,0,0,0,0,0,0,2024-02-27
157,0,0,0,0,0,0,0,0,0,0,2024-02-27
158,1,1,0,0,0,0,0,0,0,0,2024-02-27
159,0,0,0,0,0,0,0,0,0,0,2024-02-27
160,1,0,0,0,0,0,0,0,0,0,2024-02-27
161,0,0,0,0,0,0,0,0,0,0,2024-02-27
162,0,0,0,0,0,0,0,0,0,0,2024-02-27
163,2,0,0,0,0,0,0,0,0,0,2024-02-27
164,0,0,0,0,0,0,0,0,0,0,2024-02-27
165,0,6,0,0,0,0,0,0,0,0,2024-02-27
166,0,0,0,0,0,0,0,0,0,0,2024-02-27
167,0,0,0,0,0,0,0,0,0,0,2024-02-27
168,6,0,0,0,0,0,0,0,0,0,2024-02-27
169,0,0,0,0,0,0,0,0,0,0,2024-02-27
170,4,0,0,0,0,0,0,0,0,0,2024-02-27
171,2,0,0,0,0,0,0,0,0,0,2024-02-27
172,3,0,0,0,0,0,0,0,0,0,2024-02-27
173,0,0,0,0,0,0,0,0,0,0,2024-02-27
174,0,0,0,0,0,0,0,0,0,0,2024-02-27
175,0,0,0,0,0,0,0,0,0,0,2024-02-27
176,3,5,0,0,0,0,0,0,0,0,2024-02-27
177,5,4,0,0,0,0,0,0,0,0,2024-02-27
178,2,1,0,0,0,0,0,0,0,0,2024-02-27
179,0,0,0,0,0,0,0,0,0,0,2024-02-27
180,0,3,0,0,0,0,0,0,0,0,2024-02-27
181,0,2,0,0,0,0,0,0,0,0,2024-02-27
182,1,0,0,0,0,0,0,0,0,0,2024-02-27
183,0,0,0,0,0,0,0,0,0,0,2024-02-27
184,6,0,0,0,0,0,0,0,0,0,2024-02-27
185,0,15,0,0,0,0,0,0,0,0,2024-02-27
186,0,0,0,0,0,0,0,0,0,0,2024-02-27
187,0,0,0,0,0,0,0,0,0,0,2024-02-27
188,11,0,0,0,0,0,0,0,0,0,2024-02-27
189,0,0,0,0,0,0,0,0,0,0,2024-02-27
190,7,0,0,0,0,0,0,0,0,0,2024-02-27
191,0,0,0,0,0,0,0,0,0,0,2024-02-27
192,7,6,0,0,0,0,0,0,0,0,2024-02-27
193,6,0,0,0,0,0,0,0,0,0,2024-02-27
194,2,1,0,0,0,0,0,0,0,0,2024-02-27
195,4,4,0,0,0,0,0,0,0,0,2024-02-27
196,6,2,0,0,0,0,0,0,0,0,2024-02-27
197,8,1,0,0,0,0,0,0,0,0,2024-02-27
198,4,17,0,0,0,0,0,0,0,0,2024-02-27
199,2,13,0,0,0,0,0,0,0,0,2024-02-27
200,637,497,0,0,0,0,0,0,0,0,2024-02-27
201,20,28,0,0,0,0,0,0,0,0,2024-02-27
202,3,6,0,0,0,0,0,0,0,0,2024-02-27
203,1,8,0,0,0,0,0,0,0,0,2024-02-27
204,0,2,0,0,0,0,0,0,0,0,2024-02-27
205,8,12,0,0,0,0,0,0,0,0,2024-02-27
206,1,0,0,0,0,0,0,0,0,0,2024-02-27
207,0,0,0,0,0,0,0,0,0,0,2024-02-27
208,0,13,0,0,0,0,0,0,0,0,2024-02-27
209,1,2,0,0,0,0,0,0,0,0,2024-02-27
210,0,1,0,0,0,0,0,0,0,0,2024-02-27
211,2,1,0,0,0,0,0,0,0,0,2024-02-27
212,0,1,0,0,0,0,0,0,0,0,2024-02-27
213,1,32,0,0,0,0,0,0,0,0,2024-02-27
214,0,1,0,0,0,0,0,0,0,0,2024-02-27
215,2,7,0,0,0,0,0,0,0,0,2024-02-27
216,0,2,0,0,0,0,0,0,0,0,2024-02-27
217,0,3,0,0,0,0,0,0,0,0,2024-02-27
218,0,0,0,0,0,0,0,0,0,0,2024-02-27
219,1,0,0,0,0,0,0,0,0,0,2024-02-27
220,0,8,0,0,0,0,0,0,0,0,2024-02-27
221,0,0,0,0,0,0,0,0,0,0,2024-02-27
222,0,6,0,0,0,0,0,0,0,0,2024-02-27
223,0,1,0,0,0,0,0,0,0,0,2024-02-27
224,0,0,0,0,0,0,0,0,0,0,2024-02-27
225,0,0,0,0,0,0,0,0,0,0,2024-02-27
226,0,0,0,0,0,0,0,0,0,0,2024-02-27
227,0,3,0,0,0,0,0,0,0,0,2024-02-27
228,0,0,0,0,0,0,0,0,0,0,2024-02-27
229,0,0,0,0,0,0,0,0,0,0,2024-02-27
230,0,5,0,0,0,0,0,0,0,0,2024-02-27
231,4,0,0,0,0,0,0,0,0,0,2024-02-27
232,15,2,0,0,0,0,0,0,0,0,2024-02-27
