value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2023-09-25
1,0,20,0,0,0,0,0,0,0,0,2023-09-25
2,0,2,0,0,0,0,0,0,0,0,2023-09-25
3,1,0,0,0,0,0,0,0,0,0,2023-09-25
4,9,9,0,0,0,0,0,0,0,0,2023-09-25
5,1,0,0,0,0,0,0,0,0,0,2023-09-25
6,0,13,0,0,0,0,0,0,0,0,2023-09-25
7,4,5,0,0,0,0,0,0,0,0,2023-09-25
8,0,0,0,0,0,0,0,0,0,0,2023-09-25
9,0,0,0,0,0,0,0,0,0,0,2023-09-25
10,2,0,0,0,0,0,0,0,0,0,2023-09-25
11,0,0,0,0,0,0,0,0,0,0,2023-09-25
12,0,0,0,0,0,0,0,0,0,0,2023-09-25
13,0,0,0,0,0,0,0,0,0,0,2023-09-25
14,0,6,0,0,0,0,0,0,0,0,2023-09-25
15,0,0,0,0,0,0,0,0,0,0,2023-09-25
16,3,0,0,0,0,0,0,0,0,0,2023-09-25
17,0,0,0,0,0,0,0,0,0,0,2023-09-25
18,0,0,0,0,0,0,0,0,0,0,2023-09-25
19,0,0,0,0,0,0,0,0,0,0,2023-09-25
20,3,0,0,0,0,0,0,0,0,0,2023-09-25
21,0,0,0,0,0,0,0,0,0,0,2023-09-25
22,0,0,0,0,0,0,0,0,0,0,2023-09-25
23,0,0,0,0,0,0,0,0,0,0,2023-09-25
24,20,0,0,0,0,0,0,0,0,0,2023-09-25
25,10,0,0,0,0,0,0,0,0,0,2023-09-25
26,0,0,0,0,0,0,0,0,0,0,2023-09-25
27,3,0,0,0,0,0,0,0,0,0,2023-09-25
28,0,3,0,0,0,0,0,0,0,0,2023-09-25
29,0,0,0,0,0,0,0,0,0,0,2023-09-25
30,0,0,0,0,0,0,0,0,0,0,2023-09-25
31,0,0,0,0,0,0,0,0,0,0,2023-09-25
32,5,0,0,0,0,0,0,0,0,0,2023-09-25
33,0,0,0,0,0,0,0,0,0,0,2023-09-25
34,6,0,0,0,0,0,0,0,0,0,2023-09-25
35,0,5,0,0,0,0,0,0,0,0,2023-09-25
36,3,0,0,0,0,0,0,0,0,0,2023-09-25
37,0,0,0,0,0,0,0,0,0,0,2023-09-25
38,0,6,0,0,0,0,0,0,0,0,2023-09-25
39,0,0,0,0,0,0,0,0,0,0,2023-09-25
40,0,0,0,0,0,0,0,0,0,0,2023-09-25
41,0,0,0,0,0,0,0,0,0,0,2023-09-25
42,3,0,0,0,0,0,0,0,0,0,2023-09-25
43,0,5,0,0,0,0,0,0,0,0,2023-09-25
44,0,0,0,0,0,0,0,0,0,0,2023-09-25
45,1,0,0,0,0,0,0,0,0,0,2023-09-25
46,2,0,0,0,0,0,0,0,0,0,2023-09-25
47,0,0,0,0,0,0,0,0,0,0,2023-09-25
48,0,0,0,0,0,0,0,0,0,0,2023-09-25
49,0,0,0,0,0,0,0,0,0,0,2023-09-25
50,0,1,0,0,0,0,0,0,0,0,2023-09-25
51,0,0,0,0,0,0,0,0,0,0,2023-09-25
52,3,0,0,0,0,0,0,0,0,0,2023-09-25
53,0,0,0,0,0,0,0,0,0,0,2023-09-25
54,0,0,0,0,0,0,0,0,0,0,2023-09-25
55,0,0,0,0,0,0,0,0,0,0,2023-09-25
56,3,0,0,0,0,0,0,0,0,0,2023-09-25
57,0,5,0,0,0,0,0,0,0,0,2023-09-25
58,0,0,0,0,0,0,0,0,0,0,2023-09-25
59,0,0,0,0,0,0,0,0,0,0,2023-09-25
60,9,1,0,0,0,0,0,0,0,0,2023-09-25
61,0,0,0,0,0,0,0,0,0,0,2023-09-25
62,0,0,0,0,0,0,0,0,0,0,2023-09-25
63,0,3,0,0,0,0,0,0,0,0,2023-09-25
64,0,0,0,0,0,0,0,0,0,0,2023-09-25
65,3,0,0,0,0,0,0,0,0,0,2023-09-25
66,0,0,0,0,0,0,0,0,0,0,2023-09-25
67,0,0,0,0,0,0,0,0,0,0,2023-09-25
68,0,0,0,0,0,0,0,0,0,0,2023-09-25
69,0,0,0,0,0,0,0,0,0,0,2023-09-25
70,0,0,0,0,0,0,0,0,0,0,2023-09-25
71,0,0,0,0,0,0,0,0,0,0,2023-09-25
72,0,0,0,0,0,0,0,0,0,0,2023-09-25
73,2,0,0,0,0,0,0,0,0,0,2023-09-25
74,0,0,0,0,0,0,0,0,0,0,2023-09-25
75,3,0,0,0,0,0,0,0,0,0,2023-09-25
76,0,0,0,0,0,0,0,0,0,0,2023-09-25
77,0,0,0,0,0,0,0,0,0,0,2023-09-25
78,7,0,0,0,0,0,0,0,0,0,2023-09-25
79,0,0,0,0,0,0,0,0,0,0,2023-09-25
80,2,5,0,0,0,0,0,0,0,0,2023-09-25
81,0,0,0,0,0,0,0,0,0,0,2023-09-25
82,0,0,0,0,0,0,0,0,0,0,2023-09-25
83,5,0,0,0,0,0,0,0,0,0,2023-09-25
84,0,1,0,0,0,0,0,0,0,0,2023-09-25
85,0,0,0,0,0,0,0,0,0,0,2023-09-25
86,1,0,0,0,0,0,0,0,0,0,2023-09-25
87,0,0,0,0,0,0,0,0,0,0,2023-09-25
88,0,0,0,0,0,0,0,0,0,0,2023-09-25
89,4,0,0,0,0,0,0,0,0,0,2023-09-25
90,0,5,0,0,0,0,0,0,0,0,2023-09-25
91,0,0,0,0,0,0,0,0,0,0,2023-09-25
92,1,4,0,0,0,0,0,0,0,0,2023-09-25
93,3,0,0,0,0,0,0,0,0,0,2023-09-25
94,1,0,0,0,0,0,0,0,0,0,2023-09-25
95,0,0,0,0,0,0,0,0,0,0,2023-09-25
96,0,0,0,0,0,0,0,0,0,0,2023-09-25
97,0,6,0,0,0,0,0,0,0,0,2023-09-25
98,0,2,0,0,0,0,0,0,0,0,2023-09-25
99,6,8,0,0,0,0,0,0,0,0,2023-09-25
100,393,257,0,0,0,0,0,0,0,0,2023-09-25
101,8,0,0,0,0,0,0,0,0,0,2023-09-25
102,0,3,0,0,0,0,0,0,0,0,2023-09-25
103,0,0,0,0,0,0,0,0,0,0,2023-09-25
104,0,21,0,0,0,0,0,0,0,0,2023-09-25
105,1,0,0,0,0,0,0,0,0,0,2023-09-25
106,0,0,0,0,0,0,0,0,0,0,2023-09-25
107,3,33,0,0,0,0,0,0,0,0,2023-09-25
108,0,0,0,0,0,0,0,0,0,0,2023-09-25
109,13,3,0,0,0,0,0,0,0,0,2023-09-25
110,3,0,0,0,0,0,0,0,0,0,2023-09-25
111,0,4,0,0,0,0,0,0,0,0,2023-09-25
112,0,0,0,0,0,0,0,0,0,0,2023-09-25
113,0,0,0,0,0,0,0,0,0,0,2023-09-25
114,14,0,0,0,0,0,0,0,0,0,2023-09-25
