value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,60,0,2023-07-18
1,16,27,0,0,0,0,0,0,0,0,2023-07-18
2,0,6,0,0,0,0,0,0,0,0,2023-07-18
3,24,26,0,0,0,0,0,0,0,0,2023-07-18
4,0,0,0,0,0,0,0,0,0,0,2023-07-18
5,13,5,0,0,0,0,0,0,0,0,2023-07-18
6,3,25,0,0,0,0,0,0,0,0,2023-07-18
7,0,18,0,0,0,0,0,0,0,0,2023-07-18
8,1,26,0,0,0,0,0,0,0,0,2023-07-18
9,4,30,0,0,0,0,0,0,0,0,2023-07-18
10,1,1,0,0,0,0,0,0,0,0,2023-07-18
11,7,23,0,0,0,0,0,0,0,0,2023-07-18
12,0,26,0,0,0,0,0,0,0,0,2023-07-18
13,0,12,0,0,0,0,0,0,0,0,2023-07-18
14,0,7,0,0,0,0,0,0,0,0,2023-07-18
15,6,5,0,0,0,0,0,0,0,0,2023-07-18
16,0,2,0,0,0,0,0,0,0,0,2023-07-18
17,1,24,0,0,0,0,0,0,0,0,2023-07-18
18,5,4,0,0,0,0,0,0,0,0,2023-07-18
19,0,7,0,0,0,0,0,0,0,0,2023-07-18
20,2,11,0,0,0,0,0,0,0,0,2023-07-18
21,0,4,0,0,0,0,0,0,0,0,2023-07-18
22,7,45,0,0,0,0,0,0,0,0,2023-07-18
23,0,0,0,0,0,0,0,0,0,0,2023-07-18
24,0,7,0,0,0,0,0,0,0,0,2023-07-18
25,5,0,0,0,0,0,0,0,0,0,2023-07-18
26,0,13,0,0,0,0,0,0,0,0,2023-07-18
27,0,12,0,0,0,0,0,0,0,0,2023-07-18
28,0,0,0,0,0,0,0,0,0,0,2023-07-18
29,0,3,0,0,0,0,0,0,0,0,2023-07-18
30,13,6,0,0,0,0,0,0,0,0,2023-07-18
31,0,6,0,0,0,0,0,0,0,0,2023-07-18
32,1,1,0,0,0,0,0,0,0,0,2023-07-18
33,0,0,0,0,0,0,0,0,0,0,2023-07-18
34,0,0,0,0,0,0,0,0,0,0,2023-07-18
35,0,0,0,0,0,0,0,0,0,0,2023-07-18
36,2,0,0,0,0,0,0,0,0,0,2023-07-18
37,0,0,0,0,0,0,0,0,0,0,2023-07-18
38,6,8,0,0,0,0,0,0,0,0,2023-07-18
39,0,0,0,0,0,0,0,0,0,0,2023-07-18
40,1,0,0,0,0,0,0,0,0,0,2023-07-18
41,1,0,0,0,0,0,0,0,0,0,2023-07-18
42,0,2,0,0,0,0,0,0,0,0,2023-07-18
43,3,6,0,0,0,0,0,0,0,0,2023-07-18
44,0,0,0,0,0,0,0,0,0,0,2023-07-18
45,0,3,0,0,0,0,0,0,0,0,2023-07-18
46,19,0,0,0,0,0,0,0,0,0,2023-07-18
47,0,0,0,0,0,0,0,0,0,0,2023-07-18
48,5,0,0,0,0,0,0,0,0,0,2023-07-18
49,13,17,0,0,0,0,0,0,0,0,2023-07-18
50,0,2,0,0,0,0,0,0,0,0,2023-07-18
51,0,0,0,0,0,0,0,0,0,0,2023-07-18
52,3,0,0,0,0,0,0,0,0,0,2023-07-18
53,0,0,0,0,0,0,0,0,0,0,2023-07-18
54,0,1,0,0,0,0,0,0,0,0,2023-07-18
55,0,0,0,0,0,0,0,0,0,0,2023-07-18
56,0,4,0,0,0,0,0,0,0,0,2023-07-18
57,0,0,0,0,0,0,0,0,0,0,2023-07-18
58,0,0,0,0,0,0,0,0,0,0,2023-07-18
59,1,0,0,0,0,0,0,0,0,0,2023-07-18
60,34,7,0,0,0,0,0,0,0,0,2023-07-18
61,6,5,0,0,0,0,0,0,0,0,2023-07-18
62,2,0,0,0,0,0,0,0,0,0,2023-07-18
63,7,0,0,0,0,0,0,0,0,0,2023-07-18
64,0,0,0,0,0,0,0,0,0,0,2023-07-18
65,5,5,0,0,0,0,0,0,0,0,2023-07-18
66,4,0,0,0,0,0,0,0,0,0,2023-07-18
