value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2023-09-28
1,0,9,0,0,0,0,0,0,0,0,2023-09-28
2,0,0,0,0,0,0,0,0,0,0,2023-09-28
3,4,3,0,0,0,0,0,0,0,0,2023-09-28
4,0,10,0,0,0,0,0,0,0,0,2023-09-28
5,4,1,0,0,0,0,0,0,0,0,2023-09-28
6,0,2,0,0,0,0,0,0,0,0,2023-09-28
7,0,0,0,0,0,0,0,0,0,0,2023-09-28
8,5,7,0,0,0,0,0,0,0,0,2023-09-28
9,0,0,0,0,0,0,0,0,0,0,2023-09-28
10,15,48,0,0,0,0,0,0,0,0,2023-09-28
11,0,3,0,0,0,0,0,0,0,0,2023-09-28
12,0,0,0,0,0,0,0,0,0,0,2023-09-28
13,5,0,0,0,0,0,0,0,0,0,2023-09-28
14,0,0,0,0,0,0,0,0,0,0,2023-09-28
15,0,0,0,0,0,0,0,0,0,0,2023-09-28
16,0,0,0,0,0,0,0,0,0,0,2023-09-28
17,0,0,0,0,0,0,0,0,0,0,2023-09-28
18,6,0,0,0,0,0,0,0,0,0,2023-09-28
19,20,3,0,0,0,0,0,0,0,0,2023-09-28
20,0,0,0,0,0,0,0,0,0,0,2023-09-28
21,0,0,0,0,0,0,0,0,0,0,2023-09-28
22,1,0,0,0,0,0,0,0,0,0,2023-09-28
23,0,0,0,0,0,0,0,0,0,0,2023-09-28
24,1,5,0,0,0,0,0,0,0,0,2023-09-28
25,2,5,0,0,0,0,0,0,0,0,2023-09-28
26,14,4,0,0,0,0,0,0,0,0,2023-09-28
27,20,0,0,0,0,0,0,0,0,0,2023-09-28
28,0,0,0,0,0,0,0,0,0,0,2023-09-28
29,0,0,0,0,0,0,0,0,0,0,2023-09-28
30,0,0,0,0,0,0,0,0,0,0,2023-09-28
31,0,0,0,0,0,0,0,0,0,0,2023-09-28
32,3,3,0,0,0,0,0,0,0,0,2023-09-28
33,0,0,0,0,0,0,0,0,0,0,2023-09-28
34,0,8,0,0,0,0,0,0,0,0,2023-09-28
35,0,0,0,0,0,0,0,0,0,0,2023-09-28
36,2,0,0,0,0,0,0,0,0,0,2023-09-28
37,1,0,0,0,0,0,0,0,0,0,2023-09-28
38,0,0,0,0,0,0,0,0,0,0,2023-09-28
39,2,3,0,0,0,0,0,0,0,0,2023-09-28
40,0,1,0,0,0,0,0,0,0,0,2023-09-28
41,0,1,0,0,0,0,0,0,0,0,2023-09-28
42,0,1,0,0,0,0,0,0,0,0,2023-09-28
43,0,0,0,0,0,0,0,0,0,0,2023-09-28
44,1,0,0,0,0,0,0,0,0,0,2023-09-28
45,0,0,0,0,0,0,0,0,0,0,2023-09-28
46,6,0,0,0,0,0,0,0,0,0,2023-09-28
47,3,0,0,0,0,0,0,0,0,0,2023-09-28
48,0,0,0,0,0,0,0,0,0,0,2023-09-28
49,6,0,0,0,0,0,0,0,0,0,2023-09-28
50,0,6,0,0,0,0,0,0,0,0,2023-09-28
51,2,0,0,0,0,0,0,0,0,0,2023-09-28
52,0,3,0,0,0,0,0,0,0,0,2023-09-28
53,7,0,0,0,0,0,0,0,0,0,2023-09-28
54,4,2,0,0,0,0,0,0,0,0,2023-09-28
55,1,24,0,0,0,0,0,0,0,0,2023-09-28
56,0,3,0,0,0,0,0,0,0,0,2023-09-28
57,0,0,0,0,0,0,0,0,0,0,2023-09-28
58,0,2,0,0,0,0,0,0,0,0,2023-09-28
59,0,0,0,0,0,0,0,0,0,0,2023-09-28
60,1,0,0,0,0,0,0,0,0,0,2023-09-28
61,0,0,0,0,0,0,0,0,0,0,2023-09-28
62,0,0,0,0,0,0,0,0,0,0,2023-09-28
63,0,0,0,0,0,0,0,0,0,0,2023-09-28
64,0,1,0,0,0,0,0,0,0,0,2023-09-28
65,0,0,0,0,0,0,0,0,0,0,2023-09-28
66,0,0,0,0,0,0,0,0,0,0,2023-09-28
67,0,0,0,0,0,0,0,0,0,0,2023-09-28
68,0,0,0,0,0,0,0,0,0,0,2023-09-28
69,0,6,0,0,0,0,0,0,0,0,2023-09-28
70,0,2,0,0,0,0,0,0,0,0,2023-09-28
71,1,0,0,0,0,0,0,0,0,0,2023-09-28
72,0,0,0,0,0,0,0,0,0,0,2023-09-28
73,0,0,0,0,0,0,0,0,0,0,2023-09-28
