value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2023-12-18
1,1,5,0,0,0,0,0,0,0,0,2023-12-18
2,4,4,0,0,0,0,0,0,0,0,2023-12-18
3,0,2,0,0,0,0,0,0,0,0,2023-12-18
4,0,0,0,0,0,0,0,0,0,0,2023-12-18
5,10,6,0,0,0,0,0,0,0,0,2023-12-18
6,0,4,0,0,0,0,0,0,0,0,2023-12-18
7,2,8,0,0,0,0,0,0,0,0,2023-12-18
8,10,5,0,0,0,0,0,0,0,0,2023-12-18
9,1,3,0,0,0,0,0,0,0,0,2023-12-18
10,0,1,0,0,0,0,0,0,0,0,2023-12-18
11,0,0,0,0,0,0,0,0,0,0,2023-12-18
12,0,0,0,0,0,0,0,0,0,0,2023-12-18
13,0,0,0,0,0,0,0,0,0,0,2023-12-18
14,0,0,0,0,0,0,0,0,0,0,2023-12-18
15,0,0,0,0,0,0,0,0,0,0,2023-12-18
16,0,0,0,0,0,0,0,0,0,0,2023-12-18
17,3,0,0,0,0,0,0,0,0,0,2023-12-18
18,0,0,0,0,0,0,0,0,0,0,2023-12-18
19,0,0,0,0,0,0,0,0,0,0,2023-12-18
20,3,0,0,0,0,0,0,0,0,0,2023-12-18
21,0,0,0,0,0,0,0,0,0,0,2023-12-18
22,0,0,0,0,0,0,0,0,0,0,2023-12-18
23,0,3,0,0,0,0,0,0,0,0,2023-12-18
24,2,0,0,0,0,0,0,0,0,0,2023-12-18
25,0,0,0,0,0,0,0,0,0,0,2023-12-18
26,0,4,0,0,0,0,0,0,0,0,2023-12-18
27,0,0,0,0,0,0,0,0,0,0,2023-12-18
28,0,0,0,0,0,0,0,0,0,0,2023-12-18
29,5,0,0,0,0,0,0,0,0,0,2023-12-18
30,6,9,0,0,0,0,0,0,0,0,2023-12-18
31,0,0,0,0,0,0,0,0,0,0,2023-12-18
32,22,0,0,0,0,0,0,0,0,0,2023-12-18
33,0,1,0,0,0,0,0,0,0,0,2023-12-18
34,0,4,0,0,0,0,0,0,0,0,2023-12-18
35,0,0,0,0,0,0,0,0,0,0,2023-12-18
36,14,0,0,0,0,0,0,0,0,0,2023-12-18
37,0,0,0,0,0,0,0,0,0,0,2023-12-18
38,1,0,0,0,0,0,0,0,0,0,2023-12-18
39,2,0,0,0,0,0,0,0,0,0,2023-12-18
40,0,0,0,0,0,0,0,0,0,0,2023-12-18
41,0,0,0,0,0,0,0,0,0,0,2023-12-18
42,8,0,0,0,0,0,0,0,0,0,2023-12-18
43,0,0,0,0,0,0,0,0,0,0,2023-12-18
44,5,0,0,0,0,0,0,0,0,0,2023-12-18
45,0,0,0,0,0,0,0,0,0,0,2023-12-18
46,4,0,0,0,0,0,0,0,0,0,2023-12-18
47,1,0,0,0,0,0,0,0,0,0,2023-12-18
48,0,0,0,0,0,0,0,0,0,0,2023-12-18
49,2,7,0,0,0,0,0,0,0,0,2023-12-18
50,5,0,0,0,0,0,0,0,0,0,2023-12-18
51,2,0,0,0,0,0,0,0,0,0,2023-12-18
52,0,0,0,0,0,0,0,0,0,0,2023-12-18
53,0,0,0,0,0,0,0,0,0,0,2023-12-18
54,1,0,0,0,0,0,0,0,0,0,2023-12-18
55,0,2,0,0,0,0,0,0,0,0,2023-12-18
56,0,0,0,0,0,0,0,0,0,0,2023-12-18
57,7,0,0,0,0,0,0,0,0,0,2023-12-18
58,0,7,0,0,0,0,0,0,0,0,2023-12-18
59,0,0,0,0,0,0,0,0,0,0,2023-12-18
60,0,0,0,0,0,0,0,0,0,0,2023-12-18
61,0,4,0,0,0,0,0,0,0,0,2023-12-18
62,0,9,0,0,0,0,0,0,0,0,2023-12-18
63,0,8,0,0,0,0,0,0,0,0,2023-12-18
64,0,0,0,0,0,0,0,0,0,0,2023-12-18
65,0,0,0,0,0,0,0,0,0,0,2023-12-18
66,19,2,0,0,0,0,0,0,0,0,2023-12-18
67,5,0,0,0,0,0,0,0,0,0,2023-12-18
68,0,0,0,0,0,0,0,0,0,0,2023-12-18
69,1,3,0,0,0,0,0,0,0,0,2023-12-18
70,6,1,0,0,0,0,0,0,0,0,2023-12-18
71,0,0,0,0,0,0,0,0,0,0,2023-12-18
72,3,7,0,0,0,0,0,0,0,0,2023-12-18
73,0,3,0,0,0,0,0,0,0,0,2023-12-18
74,10,0,0,0,0,0,0,0,0,0,2023-12-18
75,0,0,0,0,0,0,0,0,0,0,2023-12-18
76,19,0,0,0,0,0,0,0,0,0,2023-12-18
77,0,4,0,0,0,0,0,0,0,0,2023-12-18
78,1,0,0,0,0,0,0,0,0,0,2023-12-18
79,1,0,0,0,0,0,0,0,0,0,2023-12-18
80,1,0,0,0,0,0,0,0,0,0,2023-12-18
81,0,0,0,0,0,0,0,0,0,0,2023-12-18
82,0,3,0,0,0,0,0,0,0,0,2023-12-18
83,16,1,0,0,0,0,0,0,0,0,2023-12-18
84,4,8,0,0,0,0,0,0,0,0,2023-12-18
85,5,0,0,0,0,0,0,0,0,0,2023-12-18
86,2,0,0,0,0,0,0,0,0,0,2023-12-18
87,0,0,0,0,0,0,0,0,0,0,2023-12-18
88,1,0,0,0,0,0,0,0,0,0,2023-12-18
89,0,11,0,0,0,0,0,0,0,0,2023-12-18
90,0,6,0,0,0,0,0,0,0,0,2023-12-18
91,8,4,0,0,0,0,0,0,0,0,2023-12-18
92,0,2,0,0,0,0,0,0,0,0,2023-12-18
93,0,8,0,0,0,0,0,0,0,0,2023-12-18
94,0,13,0,0,0,0,0,0,0,0,2023-12-18
95,19,0,0,0,0,0,0,0,0,0,2023-12-18
96,4,0,0,0,0,0,0,0,0,0,2023-12-18
97,0,0,0,0,0,0,0,0,0,0,2023-12-18
98,9,2,0,0,0,0,0,0,0,0,2023-12-18
99,1,0,0,0,0,0,0,0,0,0,2023-12-18
100,1335,1014,0,0,0,0,0,0,0,0,2023-12-18
101,24,7,0,0,0,0,0,0,0,0,2023-12-18
102,0,1,0,0,0,0,0,0,0,0,2023-12-18
103,8,5,0,0,0,0,0,0,0,0,2023-12-18
104,2,1,0,0,0,0,0,0,0,0,2023-12-18
105,0,1,0,0,0,0,0,0,0,0,2023-12-18
106,0,0,0,0,0,0,0,0,0,0,2023-12-18
107,0,0,0,0,0,0,0,0,0,0,2023-12-18
108,0,0,0,0,0,0,0,0,0,0,2023-12-18
109,0,0,0,0,0,0,0,0,0,0,2023-12-18
110,0,0,0,0,0,0,0,0,0,0,2023-12-18
111,1,0,0,0,0,0,0,0,0,0,2023-12-18
112,0,0,0,0,0,0,0,0,0,0,2023-12-18
113,0,0,0,0,0,0,0,0,0,0,2023-12-18
114,0,0,0,0,0,0,0,0,0,0,2023-12-18
115,1,0,0,0,0,0,0,0,0,0,2023-12-18
116,0,0,0,0,0,0,0,0,0,0,2023-12-18
117,0,0,0,0,0,0,0,0,0,0,2023-12-18
118,5,0,0,0,0,0,0,0,0,0,2023-12-18
