value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,0,0,0,0,0,0,0,0,2023-07-27
1,23,6,0,0,0,0,0,0,0,0,2023-07-27
2,4,5,0,0,0,0,0,0,0,0,2023-07-27
3,0,0,0,0,0,0,0,0,0,0,2023-07-27
4,4,4,0,0,0,0,0,0,0,0,2023-07-27
5,3,4,0,0,0,0,0,0,0,0,2023-07-27
6,3,0,0,0,0,0,0,0,0,0,2023-07-27
7,8,4,0,0,0,0,0,0,0,0,2023-07-27
8,0,0,0,0,0,0,0,0,0,0,2023-07-27
9,0,0,0,0,0,0,0,0,0,0,2023-07-27
10,0,10,0,0,0,0,0,0,0,0,2023-07-27
11,0,0,0,0,0,0,0,0,0,0,2023-07-27
12,4,2,0,0,0,0,0,0,0,0,2023-07-27
13,0,1,0,0,0,0,0,0,0,0,2023-07-27
14,1,0,0,0,0,0,0,0,0,0,2023-07-27
15,4,1,0,0,0,0,0,0,0,0,2023-07-27
16,10,0,0,0,0,0,0,0,0,0,2023-07-27
17,0,0,0,0,0,0,0,0,0,0,2023-07-27
18,0,6,0,0,0,0,0,0,0,0,2023-07-27
19,0,3,0,0,0,0,0,0,0,0,2023-07-27
20,0,0,0,0,0,0,0,0,0,0,2023-07-27
21,1,0,0,0,0,0,0,0,0,0,2023-07-27
22,8,2,0,0,0,0,0,0,0,0,2023-07-27
23,0,0,0,0,0,0,0,0,0,0,2023-07-27
24,0,4,0,0,0,0,0,0,0,0,2023-07-27
25,19,28,0,0,0,0,0,0,0,0,2023-07-27
26,5,0,0,0,0,0,0,0,0,0,2023-07-27
27,0,6,0,0,0,0,0,0,0,0,2023-07-27
28,3,0,0,0,0,0,0,0,0,0,2023-07-27
29,0,3,0,0,0,0,0,0,0,0,2023-07-27
30,8,6,0,0,0,0,0,0,0,0,2023-07-27
31,0,0,0,0,0,0,0,0,0,0,2023-07-27
32,0,0,0,0,0,0,0,0,0,0,2023-07-27
33,6,11,0,0,0,0,0,0,0,0,2023-07-27
34,0,0,0,0,0,0,0,0,0,0,2023-07-27
35,5,0,0,0,0,0,0,0,0,0,2023-07-27
36,0,3,0,0,0,0,0,0,0,0,2023-07-27
37,0,6,0,0,0,0,0,0,0,0,2023-07-27
38,0,0,0,0,0,0,0,0,0,0,2023-07-27
39,0,0,0,0,0,0,0,0,0,0,2023-07-27
40,5,0,0,0,0,0,0,0,0,0,2023-07-27
41,0,0,0,0,0,0,0,0,0,0,2023-07-27
42,1,7,0,0,0,0,0,0,0,0,2023-07-27
43,0,3,0,0,0,0,0,0,0,0,2023-07-27
44,7,0,0,0,0,0,0,0,0,0,2023-07-27
45,1,0,0,0,0,0,0,0,0,0,2023-07-27
46,0,7,0,0,0,0,0,0,0,0,2023-07-27
47,0,3,0,0,0,0,0,0,0,0,2023-07-27
48,10,15,0,0,0,0,0,0,0,0,2023-07-27
49,0,4,0,0,0,0,0,0,0,0,2023-07-27
50,4,0,0,0,0,0,0,0,0,0,2023-07-27
51,0,3,0,0,0,0,0,0,0,0,2023-07-27
52,0,1,0,0,0,0,0,0,0,0,2023-07-27
53,0,1,0,0,0,0,0,0,0,0,2023-07-27
54,0,15,0,0,0,0,0,0,0,0,2023-07-27
55,0,0,0,0,0,0,0,0,0,0,2023-07-27
56,0,1,0,0,0,0,0,0,0,0,2023-07-27
57,4,0,0,0,0,0,0,0,0,0,2023-07-27
58,0,0,0,0,0,0,0,0,0,0,2023-07-27
59,1,0,0,0,0,0,0,0,0,0,2023-07-27
60,0,0,0,0,0,0,0,0,0,0,2023-07-27
61,4,7,0,0,0,0,0,0,0,0,2023-07-27
62,0,6,0,0,0,0,0,0,0,0,2023-07-27
63,3,3,0,0,0,0,0,0,0,0,2023-07-27
64,0,0,0,0,0,0,0,0,0,0,2023-07-27
65,0,0,0,0,0,0,0,0,0,0,2023-07-27
66,0,0,0,0,0,0,0,0,0,0,2023-07-27
67,0,0,0,0,0,0,0,0,0,0,2023-07-27
68,2,0,0,0,0,0,0,0,0,0,2023-07-27
69,0,0,0,0,0,0,0,0,0,0,2023-07-27
70,5,1,0,0,0,0,0,0,0,0,2023-07-27
71,1,2,0,0,0,0,0,0,0,0,2023-07-27
72,0,4,0,0,0,0,0,0,0,0,2023-07-27
73,10,0,0,0,0,0,0,0,0,0,2023-07-27
74,23,0,0,0,0,0,0,0,0,0,2023-07-27
75,13,4,0,0,0,0,0,0,0,0,2023-07-27
76,0,3,0,0,0,0,0,0,0,0,2023-07-27
77,0,7,0,0,0,0,0,0,0,0,2023-07-27
78,0,6,0,0,0,0,0,0,0,0,2023-07-27
79,6,1,0,0,0,0,0,0,0,0,2023-07-27
80,0,12,0,0,0,0,0,0,0,0,2023-07-27
81,0,0,0,0,0,0,0,0,0,0,2023-07-27
82,5,8,0,0,0,0,0,0,0,0,2023-07-27
83,3,0,0,0,0,0,0,0,0,0,2023-07-27
84,3,3,0,0,0,0,0,0,0,0,2023-07-27
85,0,0,0,0,0,0,0,0,0,0,2023-07-27
86,0,24,0,0,0,0,0,0,0,0,2023-07-27
87,18,0,0,0,0,0,0,0,0,0,2023-07-27
88,0,6,0,0,0,0,0,0,0,0,2023-07-27
89,0,0,0,0,0,0,0,0,0,0,2023-07-27
90,0,12,0,0,0,0,0,0,0,0,2023-07-27
91,0,2,0,0,0,0,0,0,0,0,2023-07-27
92,1,2,0,0,0,0,0,0,0,0,2023-07-27
93,0,9,0,0,0,0,0,0,0,0,2023-07-27
94,1,1,0,0,0,0,0,0,0,0,2023-07-27
95,0,0,0,0,0,0,0,0,0,0,2023-07-27
96,8,7,0,0,0,0,0,0,0,0,2023-07-27
97,7,7,0,0,0,0,0,0,0,0,2023-07-27
98,11,1,0,0,0,0,0,0,0,0,2023-07-27
99,3,1,0,0,0,0,0,0,0,0,2023-07-27
100,870,688,0,0,0,0,0,0,0,0,2023-07-27
101,37,4,0,0,0,0,0,0,0,0,2023-07-27
102,7,19,0,0,0,0,0,0,0,0,2023-07-27
103,8,0,0,0,0,0,0,0,0,0,2023-07-27
104,0,1,0,0,0,0,0,0,0,0,2023-07-27
105,1,4,0,0,0,0,0,0,0,0,2023-07-27
106,6,4,0,0,0,0,0,0,0,0,2023-07-27
107,7,17,0,0,0,0,0,0,0,0,2023-07-27
108,0,0,0,0,0,0,0,0,0,0,2023-07-27
109,2,0,0,0,0,0,0,0,0,0,2023-07-27
110,0,9,0,0,0,0,0,0,0,0,2023-07-27
111,0,5,0,0,0,0,0,0,0,0,2023-07-27
112,8,0,0,0,0,0,0,0,0,0,2023-07-27
113,1,0,0,0,0,0,0,0,0,0,2023-07-27
114,0,4,0,0,0,0,0,0,0,0,2023-07-27
115,14,1,0,0,0,0,0,0,0,0,2023-07-27
116,0,1,0,0,0,0,0,0,0,0,2023-07-27
117,2,1,0,0,0,0,0,0,0,0,2023-07-27
118,6,9,0,0,0,0,0,0,0,0,2023-07-27
119,0,15,0,0,0,0,0,0,0,0,2023-07-27
120,0,14,0,0,0,0,0,0,0,0,2023-07-27
121,0,0,0,0,0,0,0,0,0,0,2023-07-27
122,9,0,0,0,0,0,0,0,0,0,2023-07-27
123,4,0,0,0,0,0,0,0,0,0,2023-07-27
124,23,10,0,0,0,0,0,0,0,0,2023-07-27
125,24,15,0,0,0,0,0,0,0,0,2023-07-27
126,50,3,0,0,0,0,0,0,0,0,2023-07-27
127,0,0,0,0,0,0,0,0,0,0,2023-07-27
