imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
-0.4,2,Create_Ask,A,0,11:30:00,12000,272213,8,AAL,2023-08-14
-0.4,1,Can,A,2,11:30:00,44616,3917767007,52,AAL,2023-08-14
-0.4,1,Add,A,2,14:30:00,36629,5880704674,33,AAL,2023-08-14
-0.4,2,Can,A,2,12:30:00,700,6060,1,AAL,2023-08-14
0.3999999999999999,1,Trd,B,-1,14:30:00,2,745524307,2,AAL,2023-08-14
0.6000000000000001,1,Can,A,1,11:30:00,30820,2757070164,51,AAL,2023-08-14
0.19999999999999996,1,Can,A,1,10:00:00,163640,57749880944,368,AAL,2023-08-14
-0.6,2,Can,A,1,12:00:00,58439,690649786,70,AAL,2023-08-14
0.3999999999999999,1,Can,A,2,15:00:00,3610,1946074896,17,AAL,2023-08-14
-1.0,1,Can,B,-1,15:00:00,10334,6554473,23,AAL,2023-08-14
-0.19999999999999996,2,Add,B,-1,13:30:00,53263,203152,50,AAL,2023-08-14
0.3999999999999999,1,Trd_All,A,1,15:00:00,18425,969191851,4,AAL,2023-08-14
0.8,1,Can,B,-1,15:00:00,124452,99425747,96,AAL,2023-08-14
0.0,1,Can,A,1,15:00:00,286453,121418758080,335,AAL,2023-08-14
-1.0,1,Trd,B,-1,14:00:00,2357,17820081,10,AAL,2023-08-14
-0.4,2,Can,B,-1,15:00:00,2118,615163,6,AAL,2023-08-14
-1.0,1,Add,A,2,15:00:00,100,31414534,1,AAL,2023-08-14
0.6000000000000001,1,Add,A,1,10:30:00,324626,86744368287,308,AAL,2023-08-14
-0.4,1,Can,B,-1,11:30:00,228869,31844337172,297,AAL,2023-08-14
0.19999999999999996,1,Can,B,-2,10:30:00,70818,7207531548,87,AAL,2023-08-14
0.19999999999999996,1,Add,A,1,15:00:00,157256,77031820632,189,AAL,2023-08-14
0.8,1,Trd,A,1,10:00:00,1494,4046001032,10,AAL,2023-08-14
-0.6,1,Add,B,-2,11:30:00,12873,4444727789,22,AAL,2023-08-14
0.3999999999999999,2,Can,A,1,10:30:00,7391,1261360,19,AAL,2023-08-14
0.19999999999999996,2,Can,B,-1,14:00:00,9212,56790,8,AAL,2023-08-14
0.3999999999999999,1,Add,B,-2,14:00:00,8649,5453541847,14,AAL,2023-08-14
-0.8,1,Add,A,1,11:30:00,184402,3476646708,135,AAL,2023-08-14
0.6000000000000001,2,Can,A,2,11:00:00,700,2576,1,AAL,2023-08-14
0.8,1,Can,B,-1,10:30:00,331005,28254843023,273,AAL,2023-08-14
-0.19999999999999996,1,Can,B,-2,14:00:00,43737,9117696927,51,AAL,2023-08-14
-0.6,2,Add,B,-2,15:00:00,1800,72910,5,AAL,2023-08-14
0.19999999999999996,2,Can,A,1,13:30:00,21599,17572,5,AAL,2023-08-14
0.3999999999999999,2,Can,A,2,10:00:00,700,11079,1,AAL,2023-08-14
-0.4,2,Create_Bid,B,0,12:00:00,6292,64919629,15,AAL,2023-08-14
-1.0,1,Add,A,1,13:30:00,75398,2022623721,76,AAL,2023-08-14
0.0,2,Can,B,-1,12:30:00,26295,4537109,33,AAL,2023-08-14
0.0,1,Trd,B,-1,13:00:00,250,611451,3,AAL,2023-08-14
-0.6,2,Create_Ask,A,0,11:00:00,20000,18624889,13,AAL,2023-08-14
0.3999999999999999,1,Can,B,-1,13:00:00,74200,6070897014,41,AAL,2023-08-14
-0.8,1,Trd_All,B,-1,14:30:00,10903,162871731,5,AAL,2023-08-14
0.19999999999999996,1,Add,B,-2,10:00:00,19231,11986877367,54,AAL,2023-08-14
-0.4,1,Add,B,-1,13:30:00,228379,131078626475,222,AAL,2023-08-14
-1.0,1,Trd,A,1,15:00:00,900,212441218,4,AAL,2023-08-14
-0.6,1,Can,A,2,12:30:00,3254,2539995450,10,AAL,2023-08-14
0.0,2,Add,B,-1,14:30:00,53266,240595,44,AAL,2023-08-14
-1.0,1,Trd,A,1,12:30:00,2600,1153677519,6,AAL,2023-08-14
0.3999999999999999,1,Trd,A,1,14:00:00,6567,6375873672,10,AAL,2023-08-14
-0.4,2,Create_Ask,A,0,13:00:00,3500,23310,2,AAL,2023-08-14
0.19999999999999996,1,Add,A,2,14:30:00,11958,5807978234,16,AAL,2023-08-14
-0.6,2,Create_Ask,A,0,14:30:00,12500,147732,5,AAL,2023-08-14
0.0,1,Add,A,1,13:30:00,216282,68559626083,216,AAL,2023-08-14
0.3999999999999999,1,Add,A,2,13:00:00,8246,713826435,10,AAL,2023-08-14
-0.4,1,Can,A,1,10:00:00,208192,24431101280,279,AAL,2023-08-14
-0.19999999999999996,1,Trd,A,1,14:30:00,104,461882741,2,AAL,2023-08-14
-1.0,1,Can,B,-1,10:00:00,7174,3962616779,41,AAL,2023-08-14
-0.8,2,Can,A,1,11:30:00,38187,241851,21,AAL,2023-08-14
0.0,1,Add,A,2,14:00:00,22282,11733402926,45,AAL,2023-08-14
0.19999999999999996,1,Can,A,2,12:00:00,26330,15125160472,41,AAL,2023-08-14
-1.0,1,Can,A,1,13:00:00,223145,3318339968,199,AAL,2023-08-14
-0.8,2,Can,B,-2,12:30:00,100,13489,1,AAL,2023-08-14
-0.4,1,Add,B,-1,13:00:00,231886,115988274181,214,AAL,2023-08-14
0.6000000000000001,1,Can,B,-1,12:30:00,90521,10741730516,79,AAL,2023-08-14
0.19999999999999996,1,Trd,A,1,13:00:00,4200,292130686,1,AAL,2023-08-14
-0.6,2,Add,B,-1,14:00:00,3500,480562,3,AAL,2023-08-14
0.8,2,Create_Ask,A,0,10:30:00,1021,12763,5,AAL,2023-08-14
-1.0,1,Can,A,1,10:00:00,113191,1969018267,159,AAL,2023-08-14
-0.6,2,Can,B,-2,14:00:00,700,12333,1,AAL,2023-08-14
0.6000000000000001,1,Trd,B,-1,10:30:00,550,37669,1,AAL,2023-08-14
-0.4,1,Add,B,-1,12:30:00,204719,42697233672,221,AAL,2023-08-14
0.8,1,Add,B,-1,13:00:00,43699,118064230,37,AAL,2023-08-14
0.19999999999999996,1,Add,A,2,10:00:00,9731,6972185014,29,AAL,2023-08-14
0.19999999999999996,1,Can,B,-2,12:00:00,40213,8328171179,68,AAL,2023-08-14
0.3999999999999999,1,Add,B,-1,14:00:00,191722,14225954011,178,AAL,2023-08-14
0.0,2,Trd,A,1,15:00:00,113,9168,2,AAL,2023-08-14
-1.0,1,Can,A,2,13:30:00,1400,17260,2,AAL,2023-08-14
0.3999999999999999,2,Add,B,-1,10:30:00,144883,6514004,147,AAL,2023-08-14
-0.4,1,Trd,B,-1,15:00:00,18027,3507769534,15,AAL,2023-08-14
0.19999999999999996,1,Can,A,1,12:00:00,197269,63883816461,309,AAL,2023-08-14
0.0,1,Can,A,1,13:30:00,272870,94585134506,256,AAL,2023-08-14
-0.6,2,Create_Bid,B,0,13:30:00,1228,9456,3,AAL,2023-08-14
0.0,1,Add,B,-2,14:30:00,21182,8984270464,39,AAL,2023-08-14
0.3999999999999999,2,Trd,B,-1,11:30:00,636,7523,1,AAL,2023-08-14
0.8,1,Can,A,2,14:00:00,42411,133142598,11,AAL,2023-08-14
-0.6,1,Can,B,-1,14:30:00,74608,22950232855,95,AAL,2023-08-14
-0.19999999999999996,2,Can,A,1,10:30:00,1900,137878556,3,AAL,2023-08-14
0.0,2,Add,A,2,13:30:00,46,14245,1,AAL,2023-08-14
0.6000000000000001,2,Create_Ask,A,0,14:30:00,1088,51709,5,AAL,2023-08-14
0.8,1,Can,B,-2,10:30:00,2805,5669383942,6,AAL,2023-08-14
-1.0,1,Can,B,-1,13:30:00,8146,3153556706,22,AAL,2023-08-14
0.0,2,Create_Ask,A,0,15:00:00,585,54973,6,AAL,2023-08-14
0.8,1,Trd_All,A,1,11:30:00,13588,59413169,37,AAL,2023-08-14
0.3999999999999999,1,Add,B,-2,11:30:00,5977,1175742481,18,AAL,2023-08-14
0.19999999999999996,2,Add,B,-2,14:30:00,700,9505,1,AAL,2023-08-14
-0.6,2,Add,B,-1,14:30:00,7508,77979,6,AAL,2023-08-14
-0.4,2,Can,B,-1,13:30:00,400,5474,1,AAL,2023-08-14
-0.8,1,Add,A,2,13:30:00,100,4628434,1,AAL,2023-08-14
-0.4,1,Trd,A,1,11:00:00,15796,11296,1,AAL,2023-08-14
-0.4,2,Add,B,-2,15:00:00,200,49379,1,AAL,2023-08-14
0.6000000000000001,1,Trd_All,A,1,13:30:00,7838,2020938624,3,AAL,2023-08-14
0.3999999999999999,2,Create_Bid,B,0,10:30:00,23500,599981,11,AAL,2023-08-14
0.0,1,Add,A,2,13:00:00,15406,15706954654,35,AAL,2023-08-14
0.3999999999999999,2,Can,B,-1,15:00:00,26396,674155,32,AAL,2023-08-14
0.0,2,Add,A,1,12:30:00,7240,1162048,8,AAL,2023-08-14
0.3999999999999999,2,Add,A,1,15:00:00,2000,36641,1,AAL,2023-08-14
0.0,2,Add,A,1,14:00:00,8413,7153333,10,AAL,2023-08-14
-0.6,1,Trd_All,B,-1,10:00:00,7507,3027025972,6,AAL,2023-08-14
-0.19999999999999996,1,Add,A,1,13:00:00,433253,139986961211,426,AAL,2023-08-14
-0.8,2,Add,A,1,13:00:00,24397,285822,26,AAL,2023-08-14
-0.19999999999999996,2,Add,B,-1,14:00:00,42840,191406,36,AAL,2023-08-14
-0.6,1,Trd_All,B,-1,11:30:00,24197,255222720,6,AAL,2023-08-14
-0.6,1,Can,B,-2,12:00:00,38443,5519804736,35,AAL,2023-08-14
-1.0,1,Add,B,-2,15:00:00,11935,81305921,10,AAL,2023-08-14
0.3999999999999999,2,Create_Ask,A,0,12:30:00,1100,372088,2,AAL,2023-08-14
0.3999999999999999,2,Add,B,-1,13:30:00,23760,331541,27,AAL,2023-08-14
-0.8,1,Add,A,2,14:30:00,10610,540944290,5,AAL,2023-08-14
0.19999999999999996,1,Add,A,1,14:30:00,169321,88463728076,207,AAL,2023-08-14
0.19999999999999996,1,Trd_All,A,1,13:00:00,18886,1062975354,3,AAL,2023-08-14
0.19999999999999996,2,Create_Bid,B,0,10:30:00,2800,23303,5,AAL,2023-08-14
-0.19999999999999996,2,Can,B,-1,14:30:00,5902,41505,7,AAL,2023-08-14
0.3999999999999999,2,Add,A,2,10:00:00,400,4342,1,AAL,2023-08-14
-0.8,2,Can,B,-1,13:00:00,1649,74979,4,AAL,2023-08-14
-0.8,2,Create_Bid,B,0,11:00:00,500,38157,5,AAL,2023-08-14
0.3999999999999999,2,Add,B,-1,12:00:00,93740,1657656,90,AAL,2023-08-14
0.19999999999999996,1,Add,B,-2,11:30:00,26055,11077843027,50,AAL,2023-08-14
-0.19999999999999996,1,Can,A,2,15:00:00,25681,11614579831,37,AAL,2023-08-14
0.19999999999999996,2,Can,B,-1,10:30:00,15552,3932506604,22,AAL,2023-08-14
0.0,1,Add,B,-1,15:00:00,305207,143632441059,339,AAL,2023-08-14
-0.6,1,Add,A,1,10:30:00,79564,8590886875,115,AAL,2023-08-14
-0.4,1,Add,B,-2,10:30:00,23269,7119288195,34,AAL,2023-08-14
-0.19999999999999996,2,Trd,A,1,12:00:00,1400,1095,1,AAL,2023-08-14
-0.8,1,Can,B,-2,14:30:00,12347,373247463,12,AAL,2023-08-14
0.8,1,Can,B,-1,12:30:00,236826,5186657278,244,AAL,2023-08-14
-0.19999999999999996,2,Add,B,-2,12:30:00,700,2446,1,AAL,2023-08-14
-0.8,1,Can,A,2,12:30:00,2045,3251113367,8,AAL,2023-08-14
0.19999999999999996,1,Trd_All,A,1,14:00:00,12333,265553882,2,AAL,2023-08-14
-0.6,2,Add,A,1,12:00:00,175196,972420975,140,AAL,2023-08-14
-0.4,1,Add,A,1,15:00:00,164229,56617769941,245,AAL,2023-08-14
0.0,1,Can,A,1,12:30:00,365222,67947906639,378,AAL,2023-08-14
0.6000000000000001,1,Can,A,2,13:00:00,4900,832441082,3,AAL,2023-08-14
0.0,1,Can,A,1,13:00:00,286265,88220654999,322,AAL,2023-08-14
0.19999999999999996,2,Create_Ask,A,0,15:00:00,300,49080,3,AAL,2023-08-14
0.19999999999999996,2,Can,A,1,13:00:00,26600,170163,7,AAL,2023-08-14
-0.6,1,Can,A,2,15:00:00,2200,1485271724,9,AAL,2023-08-14
0.19999999999999996,1,Add,A,2,11:00:00,31171,21964655537,40,AAL,2023-08-14
0.8,1,Trd_All,A,1,14:30:00,10405,914933,19,AAL,2023-08-14
-0.19999999999999996,2,Add,B,-1,14:30:00,28826,151882,19,AAL,2023-08-14
-0.8,1,Can,A,1,14:30:00,78464,15773377848,75,AAL,2023-08-14
0.6000000000000001,1,Trd_All,A,1,14:30:00,9694,5391235,3,AAL,2023-08-14
-0.4,1,Can,A,2,12:30:00,49234,2609737120,45,AAL,2023-08-14
