imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
-0.8,2,Create_Bid,B,0,15:00:00,500,14709,5,AAL,2024-07-16
-0.4,1,Add,A,2,14:00:00,26416,5213716043,17,AAL,2024-07-16
0.6000000000000001,1,Trd_All,A,1,14:00:00,17204,767499,3,AAL,2024-07-16
0.3999999999999999,2,Create_Bid,B,0,14:30:00,10500,27238,3,AAL,2024-07-16
-1.0,1,Add,A,2,12:00:00,100,224775418,1,AAL,2024-07-16
0.0,1,Can,A,-2,14:30:00,5000,282720,1,AAL,2024-07-16
-0.8,2,Add,A,1,12:30:00,10579,38300,5,AAL,2024-07-16
-0.4,1,Add,B,-1,15:00:00,445021,50882941372,196,AAL,2024-07-16
-0.4,1,Add,A,2,10:30:00,25350,10221352929,32,AAL,2024-07-16
-0.4,2,Add,B,-1,12:00:00,22838,128426,9,AAL,2024-07-16
-0.8,2,Can,A,1,13:30:00,2600,20665,2,AAL,2024-07-16
-0.6,1,Trd,A,1,11:30:00,103,5808781,1,AAL,2024-07-16
-0.4,1,Trd_All,B,-1,11:00:00,10964,2947,1,AAL,2024-07-16
0.6000000000000001,1,Trd_All,A,1,13:00:00,6156,5477608615,1,AAL,2024-07-16
-0.8,1,Trd,B,-1,15:00:00,19382,2863529,6,AAL,2024-07-16
0.3999999999999999,2,Create_Bid,B,0,13:30:00,20500,34839,4,AAL,2024-07-16
0.19999999999999996,2,Create_Bid,B,0,14:30:00,10100,11778,2,AAL,2024-07-16
0.19999999999999996,1,Trd,A,1,14:30:00,1009,2928501512,4,AAL,2024-07-16
-0.4,1,Can,B,2,10:30:00,3571,8981,2,AAL,2024-07-16
-0.6,1,Add,A,2,11:30:00,16928,1394361168,16,AAL,2024-07-16
0.19999999999999996,2,Can,A,1,13:00:00,200,5031,1,AAL,2024-07-16
0.3999999999999999,2,Can,B,-1,15:00:00,40321,225512,17,AAL,2024-07-16
-0.6,2,Add,A,1,13:00:00,83732,382218,37,AAL,2024-07-16
-0.8,2,Can,A,1,10:00:00,11650,234533,11,AAL,2024-07-16
-1.0,1,Trd,B,-1,13:30:00,18181,2308984,26,AAL,2024-07-16
-0.6,2,Can,A,1,14:30:00,26703,254821,15,AAL,2024-07-16
-0.6,1,Add,B,-2,10:30:00,28355,9138077039,31,AAL,2024-07-16
-0.8,1,Add,B,-2,13:00:00,2600,285981249,2,AAL,2024-07-16
0.6000000000000001,1,Trd,B,-1,13:30:00,300,92657,1,AAL,2024-07-16
-0.19999999999999996,2,Create_Ask,A,0,11:30:00,8700,61306,3,AAL,2024-07-16
-0.4,1,Can,A,2,12:30:00,6500,159230016,7,AAL,2024-07-16
-0.8,1,Trd,A,1,15:00:00,6000,133686001,1,AAL,2024-07-16
-0.8,2,Add,A,1,12:00:00,35303,206263,20,AAL,2024-07-16
0.8,1,Trd,A,1,10:30:00,17429,779176518,20,AAL,2024-07-16
-0.4,2,Add,B,-1,10:00:00,21091,2265642,7,AAL,2024-07-16
-0.4,1,Can,A,2,12:00:00,103005,25942531937,85,AAL,2024-07-16
0.3999999999999999,1,Can,B,-2,12:00:00,15939,3442503981,27,AAL,2024-07-16
-0.4,1,Trd,B,-1,12:00:00,2331,6340618603,11,AAL,2024-07-16
0.8,1,Can,B,-2,10:00:00,13277,1550148913,15,AAL,2024-07-16
0.3999999999999999,1,Trd,A,1,11:30:00,18771,314882980,4,AAL,2024-07-16
-0.4,1,Trd,A,1,11:00:00,3800,196578,3,AAL,2024-07-16
-0.6,2,Can,A,1,10:30:00,78553,747037,39,AAL,2024-07-16
0.19999999999999996,1,Trd,B,-1,14:30:00,100,2483,1,AAL,2024-07-16
-0.4,1,Trd,B,-1,14:30:00,16300,1757918618,3,AAL,2024-07-16
0.3999999999999999,2,Trd,A,1,11:30:00,1,4859,1,AAL,2024-07-16
-0.8,1,Trd_All,B,-1,13:30:00,3137,1715,1,AAL,2024-07-16
-1.0,1,Can,B,-2,12:30:00,11100,47072,7,AAL,2024-07-16
0.19999999999999996,1,Add,B,-1,13:30:00,168853,132867706811,155,AAL,2024-07-16
-0.19999999999999996,1,Add,A,2,10:30:00,12013,1288767483,15,AAL,2024-07-16
0.3999999999999999,1,Can,B,-1,14:30:00,181809,15979380640,61,AAL,2024-07-16
-0.6,1,Trd,B,-1,15:00:00,6034,947266992,11,AAL,2024-07-16
-0.6,1,Can,A,2,12:30:00,3210,1495389786,11,AAL,2024-07-16
-0.8,1,Trd_All,B,-1,10:30:00,11929,1164541175,3,AAL,2024-07-16
-0.19999999999999996,1,Add,A,2,12:00:00,60541,6172247839,25,AAL,2024-07-16
