imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
-0.4,2,Add,B,-1,11:00:00,18820,4072790,36,AAL,2024-10-24
-0.6,1,Can,B,-1,12:30:00,29877,27685425798,71,AAL,2024-10-24
-0.4,2,Add,A,1,12:30:00,21432,129353462,52,AAL,2024-10-24
-0.4,2,Create_Ask,A,0,13:30:00,21200,5446420,14,AAL,2024-10-24
0.3999999999999999,1,Trd,A,1,12:00:00,7510,67241,3,AAL,2024-10-24
0.8,1,Trd_All,A,1,12:00:00,7182,3444071631,12,AAL,2024-10-24
-0.6,1,Trd_All,B,-1,11:00:00,12035,1850119233,16,AAL,2024-10-24
0.3999999999999999,1,Add,A,2,12:00:00,31505,19725907159,106,AAL,2024-10-24
0.0,1,Can,A,2,13:00:00,14324,16346040053,51,AAL,2024-10-24
-0.19999999999999996,1,Trd,A,1,13:30:00,6666,752360889,6,AAL,2024-10-24
-1.0,1,Trd,A,1,14:30:00,600,99605742,2,AAL,2024-10-24
0.6000000000000001,1,Add,A,2,13:30:00,6305,1417456911,11,AAL,2024-10-24
0.3999999999999999,1,Can,A,1,14:00:00,18476,2587301035,39,AAL,2024-10-24
0.8,1,Can,A,2,11:00:00,6098,4508123585,37,AAL,2024-10-24
-0.8,2,Create_Bid,B,0,14:00:00,3002,99380680,9,AAL,2024-10-24
0.0,2,Add,A,1,10:00:00,62337,6354033,134,AAL,2024-10-24
0.0,1,Add,B,-1,12:30:00,58153,46332327729,107,AAL,2024-10-24
0.6000000000000001,2,Create_Bid,B,0,10:30:00,21241,107444961,33,AAL,2024-10-24
0.19999999999999996,1,Trd,B,-1,13:30:00,29928,790683,4,AAL,2024-10-24
0.3999999999999999,2,Can,A,2,15:00:00,200,19484,2,AAL,2024-10-24
-0.8,1,Add,B,-1,12:30:00,35968,12586286947,45,AAL,2024-10-24
0.0,1,Trd,A,1,11:00:00,4010,1844894,4,AAL,2024-10-24
-0.8,1,Trd,B,-1,13:30:00,16440,21855116647,24,AAL,2024-10-24
0.19999999999999996,1,Can,A,2,10:30:00,35244,51608124837,156,AAL,2024-10-24
0.0,2,Add,A,2,13:00:00,100,1076932,1,AAL,2024-10-24
