imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
0.3999999999999999,1,Can,A,1,13:00:00,38600,25881133549,48,AAL,2024-05-20
-0.19999999999999996,1,Add,A,2,14:00:00,6208,14154174253,13,AAL,2024-05-20
-0.19999999999999996,2,Create_Ask,A,0,10:00:00,1900,82506,5,AAL,2024-05-20
0.19999999999999996,2,Create_Ask,A,0,13:00:00,14,46749,1,AAL,2024-05-20
-0.6,1,Add,B,-1,15:00:00,28977,14513752272,41,AAL,2024-05-20
-0.4,1,Can,B,-2,13:30:00,7718,10266228618,20,AAL,2024-05-20
-0.6,1,Add,B,-2,11:00:00,1797,3349113921,12,AAL,2024-05-20
-0.8,2,Create_Bid,B,0,15:00:00,300,21554,3,AAL,2024-05-20
0.6000000000000001,1,Add,A,1,13:00:00,24635,15786527245,26,AAL,2024-05-20
0.8,1,Add,B,-1,14:30:00,24271,313861885,28,AAL,2024-05-20
0.3999999999999999,1,Add,A,2,12:00:00,6156,6724986057,13,AAL,2024-05-20
0.0,1,Trd_All,A,1,14:30:00,7605,864452,1,AAL,2024-05-20
-0.6,1,Can,A,1,14:00:00,125333,13145015496,115,AAL,2024-05-20
-0.19999999999999996,1,Can,A,1,13:00:00,151051,92780177305,183,AAL,2024-05-20
-0.8,2,Create_Ask,A,0,11:30:00,11000,184910,5,AAL,2024-05-20
0.0,1,Add,A,2,11:30:00,8803,6540722239,21,AAL,2024-05-20
0.3999999999999999,1,Add,B,-2,14:30:00,1439,802410482,3,AAL,2024-05-20
-0.6,2,Create_Bid,B,0,15:00:00,500,42401,5,AAL,2024-05-20
-0.6,1,Add,A,1,11:30:00,121892,54425440806,207,AAL,2024-05-20
-0.19999999999999996,1,Add,A,1,10:00:00,90780,45137187028,185,AAL,2024-05-20
0.6000000000000001,2,Add,B,-1,10:00:00,9158,460382,22,AAL,2024-05-20
0.6000000000000001,2,Trd,B,-1,11:00:00,684,5121,1,AAL,2024-05-20
-0.4,2,Add,A,1,14:30:00,39823,1103512,26,AAL,2024-05-20
0.3999999999999999,1,Can,B,-1,15:00:00,155152,28133202358,133,AAL,2024-05-20
0.19999999999999996,1,Can,B,-1,14:00:00,166855,39005351552,174,AAL,2024-05-20
0.0,1,Add,A,2,11:00:00,7663,13493084712,26,AAL,2024-05-20
0.19999999999999996,2,Can,B,-1,15:00:00,19249,636819,26,AAL,2024-05-20
0.19999999999999996,1,Can,B,-1,12:00:00,63098,23981693166,82,AAL,2024-05-20
-0.4,1,Can,B,-1,11:00:00,71531,42950560748,113,AAL,2024-05-20
0.0,2,Create_Bid,B,0,11:30:00,1200,20919,1,AAL,2024-05-20
0.0,2,Add,B,-1,12:30:00,900,5086,3,AAL,2024-05-20
-0.6,1,Can,A,1,11:00:00,115470,21499637535,113,AAL,2024-05-20
-0.8,2,Add,B,-1,13:00:00,1100,28163,2,AAL,2024-05-20
-0.19999999999999996,1,Can,B,-2,12:30:00,5866,36017190082,23,AAL,2024-05-20
-1.0,2,Can,A,1,15:00:00,4200,11267,3,AAL,2024-05-20
-0.19999999999999996,2,Add,B,-1,11:00:00,12179,98381,11,AAL,2024-05-20
0.6000000000000001,1,Can,A,2,14:00:00,11200,623119928,11,AAL,2024-05-20
-0.4,1,Trd_All,B,-1,14:00:00,7424,6534,1,AAL,2024-05-20
0.8,1,Can,B,-2,14:00:00,2142,863653860,6,AAL,2024-05-20
0.8,1,Can,A,2,13:30:00,200,369873650,2,AAL,2024-05-20
0.19999999999999996,1,Add,B,-2,12:00:00,5111,8967354938,14,AAL,2024-05-20
0.8,1,Add,A,1,11:30:00,67935,12940122870,105,AAL,2024-05-20
0.3999999999999999,2,Can,B,-1,11:30:00,7073,361534,16,AAL,2024-05-20
-0.4,3,Can,B,-2,11:30:00,100,6728,1,AAL,2024-05-20
-0.4,1,Trd_All,B,-1,15:00:00,10991,990006531,3,AAL,2024-05-20
-0.6,2,Create_Bid,B,0,12:00:00,200,12691,2,AAL,2024-05-20
-0.19999999999999996,2,Trd,A,1,10:00:00,1,108188091,1,AAL,2024-05-20
-0.19999999999999996,2,Can,A,2,11:30:00,552,103143,1,AAL,2024-05-20
-0.8,1,Can,B,-2,13:30:00,2300,10369598839,7,AAL,2024-05-20
0.8,1,Add,B,-1,10:00:00,26924,4239488905,68,AAL,2024-05-20
0.19999999999999996,2,Add,B,-2,11:30:00,300,9787,1,AAL,2024-05-20
-0.19999999999999996,2,Can,A,1,12:00:00,6789,39256138,11,AAL,2024-05-20
-0.4,1,Add,B,-1,12:30:00,28544,49217052802,45,AAL,2024-05-20
0.3999999999999999,2,Create_Ask,A,0,11:00:00,3889,380120,9,AAL,2024-05-20
0.19999999999999996,1,Add,B,-1,10:30:00,107111,77485590188,191,AAL,2024-05-20
0.6000000000000001,1,Trd,A,1,11:00:00,5354,607276099,6,AAL,2024-05-20
-1.0,1,Can,A,1,12:00:00,151795,20190264394,311,AAL,2024-05-20
-0.8,1,Add,B,-1,14:30:00,48413,30306254374,61,AAL,2024-05-20
-0.19999999999999996,1,Add,A,1,12:00:00,113875,75491133323,168,AAL,2024-05-20
-0.4,1,Can,A,1,13:00:00,206743,53751715344,178,AAL,2024-05-20
-0.6,2,Add,A,2,13:00:00,1,2052750,1,AAL,2024-05-20
-0.8,1,Add,B,-2,11:00:00,2300,354547897,9,AAL,2024-05-20
0.0,1,Can,B,-1,13:00:00,121815,77907851536,128,AAL,2024-05-20
0.0,2,Add,B,-2,10:00:00,95,40167,1,AAL,2024-05-20
0.0,1,Can,A,2,12:30:00,22852,10852064713,35,AAL,2024-05-20
0.0,2,Trd,A,1,12:30:00,100,8526,1,AAL,2024-05-20
0.0,1,Trd,A,1,10:00:00,4150,8849551697,8,AAL,2024-05-20
-1.0,1,Trd,B,-1,11:30:00,8094,408864,13,AAL,2024-05-20
0.19999999999999996,2,Add,A,1,10:30:00,18000,1133529747,22,AAL,2024-05-20
-0.8,1,Can,A,1,13:30:00,138441,44686203528,175,AAL,2024-05-20
-0.8,1,Trd_All,B,-1,13:30:00,8812,36687,3,AAL,2024-05-20
-0.19999999999999996,1,Can,A,2,11:30:00,18822,8186157706,39,AAL,2024-05-20
0.6000000000000001,1,Trd_All,A,1,11:30:00,10860,507873547,4,AAL,2024-05-20
-0.19999999999999996,2,Can,B,-2,11:30:00,600,13945,1,AAL,2024-05-20
-0.6,1,Can,A,2,11:30:00,9753,4116205179,25,AAL,2024-05-20
0.0,2,Add,A,1,10:00:00,10636,210453008,19,AAL,2024-05-20
0.6000000000000001,2,Can,A,2,10:00:00,1200,156550,2,AAL,2024-05-20
-0.6,1,Trd,A,1,11:30:00,1600,1442687,4,AAL,2024-05-20
