imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
0.3999999999999999,2,Can,B,-1,12:00:00,62742,11628367,63,AAL,2023-08-02
-0.8,1,Trd,B,-1,10:00:00,46126,2142805694,30,AAL,2023-08-02
0.0,2,Create_Ask,A,0,11:30:00,1500,16592,3,AAL,2023-08-02
-0.19999999999999996,2,Create_Bid,B,0,13:30:00,200,40360,2,AAL,2023-08-02
-0.4,2,Add,A,1,10:00:00,182121,2324637,210,AAL,2023-08-02
-0.8,2,Create_Ask,A,0,13:30:00,2200,44805,3,AAL,2023-08-02
-0.4,2,Add,B,-1,14:30:00,8749,684843,3,AAL,2023-08-02
-0.4,2,Trd,B,-1,10:30:00,900,6168,1,AAL,2023-08-02
-1.0,1,Add,A,1,12:30:00,226020,13962566,231,AAL,2023-08-02
0.0,1,Can,A,2,11:30:00,55578,14693781040,112,AAL,2023-08-02
0.6000000000000001,1,Can,A,2,12:30:00,14780,1581532977,16,AAL,2023-08-02
0.3999999999999999,2,Can,B,-2,12:30:00,500,38074,1,AAL,2023-08-02
0.0,1,Add,B,-1,12:30:00,306358,64286539113,392,AAL,2023-08-02
0.8,1,Add,B,-1,12:30:00,267585,597511517,224,AAL,2023-08-02
0.19999999999999996,2,Add,B,-2,13:00:00,500,10040,1,AAL,2023-08-02
-0.8,1,Can,B,-2,12:30:00,7393,1546563427,14,AAL,2023-08-02
-0.4,1,Add,A,1,14:30:00,299284,75226633482,346,AAL,2023-08-02
-0.19999999999999996,1,Can,B,-1,13:00:00,194328,38420310213,246,AAL,2023-08-02
-0.8,2,Can,A,1,14:30:00,3501,53998,3,AAL,2023-08-02
0.3999999999999999,2,Add,B,-2,12:00:00,100,296532,1,AAL,2023-08-02
-0.19999999999999996,1,Can,B,-1,10:00:00,402257,52453586593,543,AAL,2023-08-02
0.8,1,Can,A,1,11:30:00,31348,127942978,99,AAL,2023-08-02
0.19999999999999996,1,Can,A,2,11:30:00,33873,9427256226,87,AAL,2023-08-02
0.19999999999999996,2,Create_Ask,A,0,13:30:00,6400,660843359,12,AAL,2023-08-02
-0.4,1,Can,B,-2,14:00:00,17511,3696963566,41,AAL,2023-08-02
0.6000000000000001,1,Trd,B,-1,13:30:00,168,27574637,2,AAL,2023-08-02
0.8,1,Trd,B,-1,13:30:00,100,1458529,1,AAL,2023-08-02
0.0,1,Add,B,-2,15:00:00,5790,3992262956,32,AAL,2023-08-02
0.0,1,Can,B,-2,14:00:00,15377,11658751493,59,AAL,2023-08-02
-0.4,2,Create_Ask,A,0,14:00:00,900,9250,1,AAL,2023-08-02
0.6000000000000001,1,Add,A,1,14:30:00,49081,3465572340,65,AAL,2023-08-02
