imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
-0.19999999999999996,1,Can,B,-1,14:00:00,94557,48349611581,154,AAL,2024-05-07
0.6000000000000001,1,Can,B,-1,10:00:00,121746,8832709818,200,AAL,2024-05-07
0.6000000000000001,1,Trd_All,A,1,10:30:00,4747,1226038094,4,AAL,2024-05-07
-0.19999999999999996,1,Can,B,-2,13:30:00,12323,11745138215,40,AAL,2024-05-07
-0.19999999999999996,1,Add,B,-1,11:00:00,78893,63289071042,125,AAL,2024-05-07
-0.8,2,Add,B,-1,10:00:00,2300,114301,3,AAL,2024-05-07
0.3999999999999999,2,Add,B,-2,13:00:00,302,2010181,2,AAL,2024-05-07
-0.8,1,Trd,B,-1,14:30:00,4867,535033791,10,AAL,2024-05-07
-0.6,1,Add,B,-1,13:30:00,104560,89446190206,136,AAL,2024-05-07
-0.4,1,Add,B,-1,10:00:00,105726,47732669176,206,AAL,2024-05-07
-0.19999999999999996,2,Can,B,-1,12:30:00,1585,190585,7,AAL,2024-05-07
-1.0,1,Add,B,-2,10:00:00,12443,3062314919,24,AAL,2024-05-07
0.19999999999999996,2,Can,B,-1,13:00:00,11010,1044855,30,AAL,2024-05-07
0.6000000000000001,1,Trd_All,A,1,10:00:00,6037,188173134,9,AAL,2024-05-07
0.0,1,Trd,A,1,12:30:00,5228,3404119118,11,AAL,2024-05-07
0.19999999999999996,1,Add,B,-2,12:30:00,4873,11857341558,22,AAL,2024-05-07
-0.19999999999999996,2,Create_Bid,B,0,13:00:00,5000,327837,7,AAL,2024-05-07
0.3999999999999999,2,Can,B,-1,10:30:00,11923,377479,29,AAL,2024-05-07
-0.8,1,Add,B,-2,15:00:00,3901,128208,3,AAL,2024-05-07
0.0,1,Add,B,-1,10:00:00,159084,36259997043,261,AAL,2024-05-07
0.0,2,Can,B,-1,12:00:00,7807,34652208,8,AAL,2024-05-07
-0.6,3,Add,B,-2,10:30:00,300,17115,1,AAL,2024-05-07
-0.19999999999999996,1,Add,A,1,12:30:00,154446,93540131189,224,AAL,2024-05-07
-0.4,2,Add,A,1,12:30:00,68164,13448561,125,AAL,2024-05-07
