imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
-0.19999999999999996,1,Can,A,2,10:30:00,43846,4720198181,67,AAL,2024-08-20
-0.6,1,Trd,A,1,11:30:00,300,77856,1,AAL,2024-08-20
0.0,1,Can,A,2,11:30:00,25728,32193599978,65,AAL,2024-08-20
0.3999999999999999,1,Can,A,-2,12:00:00,418,16109,1,AAL,2024-08-20
0.3999999999999999,1,Add,A,2,13:00:00,7200,2404072685,12,AAL,2024-08-20
-0.19999999999999996,1,Add,B,-1,10:30:00,111358,32936172902,214,AAL,2024-08-20
-1.0,1,Can,A,1,13:30:00,29641,158469,15,AAL,2024-08-20
-0.6,2,Can,A,1,14:00:00,342,7352,2,AAL,2024-08-20
-0.4,1,Add,A,1,13:30:00,53903,5111026925,40,AAL,2024-08-20
0.8,1,Trd_All,A,1,14:00:00,3492,5915992893,9,AAL,2024-08-20
0.19999999999999996,2,Can,B,-1,12:30:00,7447,10365,3,AAL,2024-08-20
-0.19999999999999996,1,Can,A,2,12:00:00,15072,5930548434,27,AAL,2024-08-20
0.19999999999999996,2,Can,B,-1,11:30:00,7306,40899,9,AAL,2024-08-20
-0.8,1,Can,B,-1,10:30:00,37022,7061455743,68,AAL,2024-08-20
-0.8,1,Can,B,-2,10:30:00,6300,161894436,14,AAL,2024-08-20
-0.4,2,Add,A,2,10:00:00,1,1150,1,AAL,2024-08-20
0.19999999999999996,1,Can,A,2,14:00:00,20706,13096575954,39,AAL,2024-08-20
0.8,1,Can,A,1,13:00:00,7023,9256476027,26,AAL,2024-08-20
-1.0,1,Can,A,1,15:00:00,109346,7405426522,90,AAL,2024-08-20
-1.0,1,Can,B,-1,13:00:00,2274,21602815,9,AAL,2024-08-20
0.8,1,Can,A,1,10:30:00,19963,12069729620,54,AAL,2024-08-20
0.19999999999999996,1,Can,A,1,14:00:00,67671,31941739309,146,AAL,2024-08-20
-0.4,1,Can,A,1,12:30:00,146000,97343094579,173,AAL,2024-08-20
-0.19999999999999996,1,Can,A,1,10:00:00,352769,46684740794,540,AAL,2024-08-20
-1.0,1,Add,A,1,12:00:00,35730,299268213,35,AAL,2024-08-20
-0.4,2,Add,B,-1,11:30:00,4100,12001,3,AAL,2024-08-20
0.3999999999999999,1,Add,A,1,12:00:00,60365,58089978923,104,AAL,2024-08-20
0.6000000000000001,2,Can,B,-1,10:00:00,21266,528292,25,AAL,2024-08-20
-0.6,1,Trd_All,B,-1,14:00:00,7786,21821,1,AAL,2024-08-20
-0.6,2,Can,A,1,11:00:00,21909,187295,20,AAL,2024-08-20
-1.0,1,Add,B,-2,11:30:00,640,63792331,4,AAL,2024-08-20
0.8,1,Trd,B,-1,10:00:00,100,742532,1,AAL,2024-08-20
0.3999999999999999,1,Add,B,-1,11:30:00,26325,19177041152,48,AAL,2024-08-20
-1.0,1,Can,B,-2,13:00:00,7860,947762,10,AAL,2024-08-20
-0.6,1,Can,A,2,13:30:00,1815,320448046,4,AAL,2024-08-20
0.0,1,Add,B,-2,11:30:00,11801,18154102398,26,AAL,2024-08-20
-0.8,1,Can,A,1,13:30:00,15700,74412295,9,AAL,2024-08-20
0.19999999999999996,1,Can,A,2,14:30:00,5326,4363871644,25,AAL,2024-08-20
0.19999999999999996,2,Can,A,1,11:30:00,600,11177,2,AAL,2024-08-20
0.19999999999999996,1,Add,B,-2,12:00:00,5100,7776762241,21,AAL,2024-08-20
0.0,1,Can,A,1,11:30:00,141382,71619147652,201,AAL,2024-08-20
-0.6,1,Add,B,-2,13:00:00,400,632187951,4,AAL,2024-08-20
-0.8,1,Add,A,2,11:30:00,3214,2818970660,6,AAL,2024-08-20
0.6000000000000001,2,Add,A,1,10:00:00,1338,24771,3,AAL,2024-08-20
-0.8,1,Can,A,1,14:30:00,101500,4316711868,88,AAL,2024-08-20
0.0,1,Add,B,-1,13:00:00,118956,73832278824,138,AAL,2024-08-20
0.0,2,Add,B,-1,14:30:00,7500,23281,3,AAL,2024-08-20
0.3999999999999999,2,Create_Ask,A,0,11:30:00,504,64733,5,AAL,2024-08-20
