imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
0.0,1,Add,B,-1,15:00:00,246213,134628913220,377,AAL,2024-10-30
-0.19999999999999996,2,Create_Bid,B,0,10:00:00,5179,34748529,9,AAL,2024-10-30
0.0,2,Create_Bid,B,0,12:00:00,2700,297757,1,AAL,2024-10-30
0.6000000000000001,1,Can,B,-1,15:00:00,66307,10014459025,63,AAL,2024-10-30
0.8,1,Add,A,1,10:30:00,50015,23612619463,113,AAL,2024-10-30
-0.8,1,Add,A,1,15:00:00,37004,3177790278,38,AAL,2024-10-30
-0.4,1,Can,A,2,14:30:00,23220,506179564,28,AAL,2024-10-30
0.19999999999999996,1,Can,A,2,10:00:00,32158,6015936686,126,AAL,2024-10-30
0.8,1,Trd_All,A,1,11:30:00,6286,5432640245,15,AAL,2024-10-30
-0.4,1,Trd_All,A,1,12:00:00,9857,13566,1,AAL,2024-10-30
-0.19999999999999996,2,Trd,A,1,14:30:00,9535,27267,1,AAL,2024-10-30
0.0,1,Add,A,1,15:00:00,322394,224999603809,628,AAL,2024-10-30
-0.19999999999999996,1,Trd,A,1,11:00:00,100,928126887,1,AAL,2024-10-30
-0.19999999999999996,1,Trd,B,-1,11:00:00,3600,20191,2,AAL,2024-10-30
0.8,1,Add,A,2,13:30:00,5701,1147891909,9,AAL,2024-10-30
0.6000000000000001,1,Can,B,-2,14:30:00,71,1331903106,4,AAL,2024-10-30
0.8,1,Add,A,1,13:00:00,23761,221051254,18,AAL,2024-10-30
0.19999999999999996,2,Add,A,1,14:30:00,3801,35416,3,AAL,2024-10-30
-0.4,1,Can,A,2,10:30:00,19726,2520884671,55,AAL,2024-10-30
-0.19999999999999996,1,Trd,B,-1,13:30:00,400,1668486,1,AAL,2024-10-30
-0.6,2,Trd,B,-1,13:00:00,502,594876434,2,AAL,2024-10-30
0.3999999999999999,1,Can,B,-1,13:30:00,158264,29863239771,183,AAL,2024-10-30
-1.0,1,Can,A,1,10:30:00,46511,6174308167,69,AAL,2024-10-30
-0.19999999999999996,2,Add,B,-1,11:30:00,8191,44644,7,AAL,2024-10-30
0.0,1,Can,A,2,11:00:00,19576,12369518725,74,AAL,2024-10-30
