imbalance_left,spread,event,event_side,event_queue_nbr,time,event_size_sum,ts_delta_sum,ts_delta_count,symbol,date
-0.4,1,Can,A,2,11:00:00,20564,15008705564,24,AAL,2024-06-14
0.6000000000000001,1,Add,A,2,10:00:00,10288,3459975416,30,AAL,2024-06-14
0.6000000000000001,2,Can,A,1,10:00:00,4300,18589,1,AAL,2024-06-14
0.0,2,Create_Bid,B,0,13:30:00,200,10739,1,AAL,2024-06-14
-1.0,1,Trd,A,1,13:00:00,112,61208716,2,AAL,2024-06-14
0.0,1,Can,A,1,15:00:00,59608,36592561152,75,AAL,2024-06-14
0.19999999999999996,2,Trd,B,-1,10:00:00,401,4841610,2,AAL,2024-06-14
0.8,1,Add,B,-1,14:30:00,97552,714907,82,AAL,2024-06-14
-0.19999999999999996,2,Add,A,1,10:00:00,287699,11496774,221,AAL,2024-06-14
0.0,1,Trd_All,B,-1,10:00:00,36564,67044,2,AAL,2024-06-14
0.6000000000000001,2,Can,B,-1,10:00:00,24331,726230,24,AAL,2024-06-14
-0.4,2,Add,B,-1,14:30:00,2000,613157,1,AAL,2024-06-14
-0.8,2,Add,A,1,11:00:00,24784,186379,15,AAL,2024-06-14
0.19999999999999996,2,Create_Bid,B,0,13:00:00,700,46507,2,AAL,2024-06-14
-0.6,1,Trd,A,1,11:00:00,100,542430,1,AAL,2024-06-14
-0.19999999999999996,2,Add,B,-1,11:00:00,3705,9433848,4,AAL,2024-06-14
-0.19999999999999996,2,Can,A,2,11:00:00,2,2203011,1,AAL,2024-06-14
0.0,2,Add,A,1,11:30:00,13800,94284,11,AAL,2024-06-14
-0.4,2,Create_Bid,B,0,11:30:00,800,77961,5,AAL,2024-06-14
-0.6,2,Add,B,-1,10:30:00,4900,4643050,4,AAL,2024-06-14
-0.8,1,Can,A,2,12:30:00,8000,1937314574,3,AAL,2024-06-14
0.3999999999999999,1,Trd_All,A,1,15:00:00,5128,239187,1,AAL,2024-06-14
-0.19999999999999996,1,Can,A,1,10:00:00,662701,71024040142,478,AAL,2024-06-14
-1.0,1,Add,A,1,13:00:00,141206,7734831705,122,AAL,2024-06-14
-0.6,1,Add,A,2,10:30:00,502,586105335,3,AAL,2024-06-14
-0.6,1,Can,A,2,13:30:00,4946,15276050493,12,AAL,2024-06-14
-0.8,2,Add,A,1,14:00:00,30103,277454,22,AAL,2024-06-14
-0.8,1,Trd_All,B,-1,12:00:00,7995,2191,1,AAL,2024-06-14
-0.6,1,Trd,A,1,12:00:00,400,3417063916,4,AAL,2024-06-14
-0.4,2,Can,A,1,15:00:00,14834,152405,9,AAL,2024-06-14
-0.19999999999999996,1,Can,A,1,11:30:00,271025,99432994655,228,AAL,2024-06-14
-0.6,2,Create_Ask,A,0,12:30:00,12000,77872,4,AAL,2024-06-14
0.0,1,Add,A,2,14:00:00,3110,3109880579,9,AAL,2024-06-14
-0.8,1,Can,B,-1,12:00:00,43685,12504754135,27,AAL,2024-06-14
0.19999999999999996,1,Add,A,2,14:00:00,606,513624916,5,AAL,2024-06-14
0.8,2,Add,B,-1,10:00:00,11331,194849,7,AAL,2024-06-14
-1.0,1,Trd,B,-1,13:00:00,10336,7155796,21,AAL,2024-06-14
0.3999999999999999,1,Trd_All,A,1,10:00:00,41690,2806354006,7,AAL,2024-06-14
-0.6,2,Add,A,1,10:00:00,125294,3371839,108,AAL,2024-06-14
0.3999999999999999,2,Add,A,1,12:30:00,49092,1298873,26,AAL,2024-06-14
-0.6,1,Can,B,-2,12:00:00,935,408136281,5,AAL,2024-06-14
0.3999999999999999,2,Create_Ask,A,0,10:00:00,11025,2234882,20,AAL,2024-06-14
0.3999999999999999,1,Add,B,-1,12:30:00,74472,400421675,42,AAL,2024-06-14
0.6000000000000001,2,Can,B,-1,10:30:00,107013,1275896,80,AAL,2024-06-14
-0.6,1,Add,B,-2,10:30:00,2455,3308584879,7,AAL,2024-06-14
0.8,1,Add,B,-1,11:30:00,121912,1587659,96,AAL,2024-06-14
0.0,1,Add,A,1,11:00:00,203019,104454614427,249,AAL,2024-06-14
0.3999999999999999,1,Trd_All,A,1,11:30:00,9401,3035355148,2,AAL,2024-06-14
0.0,2,Add,B,-1,10:00:00,105979,151928269,70,AAL,2024-06-14
0.0,2,Add,A,1,14:30:00,4614,26237,7,AAL,2024-06-14
0.0,2,Add,A,1,12:30:00,18590,1197008177,15,AAL,2024-06-14
0.19999999999999996,1,Add,B,-2,14:00:00,6013,2140494678,11,AAL,2024-06-14
-0.4,1,Can,A,2,10:30:00,12226,10446751507,32,AAL,2024-06-14
0.6000000000000001,2,Can,B,-1,15:00:00,34460,275381,20,AAL,2024-06-14
-0.6,1,Can,A,2,14:00:00,7611,6081145500,19,AAL,2024-06-14
-1.0,1,Trd,B,-1,13:30:00,2581,159991,9,AAL,2024-06-14
-0.19999999999999996,2,Add,B,-1,14:00:00,3846,48275,5,AAL,2024-06-14
-0.8,1,Trd_All,B,-1,12:30:00,30250,324478,6,AAL,2024-06-14
-0.19999999999999996,2,Can,A,2,12:30:00,15,163560930,3,AAL,2024-06-14
-0.19999999999999996,2,Add,A,1,11:30:00,29511,147542,19,AAL,2024-06-14
-0.6,1,Can,B,-2,14:00:00,23711,6054233274,33,AAL,2024-06-14
-0.6,1,Can,B,-1,14:30:00,117402,85082113186,209,AAL,2024-06-14
-1.0,1,Can,B,-1,13:00:00,2136,2978868594,15,AAL,2024-06-14
0.19999999999999996,1,Add,B,-1,12:00:00,109378,41388874847,84,AAL,2024-06-14
0.0,1,Can,B,2,11:30:00,7,77058,1,AAL,2024-06-14
-0.4,1,Trd,B,-1,12:00:00,8656,65260,2,AAL,2024-06-14
-0.19999999999999996,1,Add,B,-2,10:00:00,47328,18420716362,65,AAL,2024-06-14
-1.0,1,Add,A,1,11:00:00,130747,1442275830,129,AAL,2024-06-14
